,Unnamed: 0,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
3700,7903,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Tom Cruise,Magnolia,False,0
3701,7904,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Clarke Duncan,The Green Mile,False,0
3703,7906,1999,2000,72,ACTOR IN A SUPPORTING ROLE,Haley Joel Osment,The Sixth Sense,False,0
3707,7911,1999,2000,72,ACTRESS IN A LEADING ROLE,Hilary Swank,Boys Don't Cry,True,1
3709,7914,1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Catherine Keener,Being John Malkovich,False,0
3723,7948,1999,2000,72,FILM EDITING,Zach Staenberg,The Matrix,True,4
3733,7962,1999,2000,72,MUSIC (Original Score),John Corigliano,The Red Violin,True,1
3734,7964,1999,2000,72,MUSIC (Original Song),Music and Lyric by Trey Parker and Marc Shaiman,"South Park: Bigger, Longer & Uncut",False,0
3735,7967,1999,2000,72,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story 2,False,0
3748,7989,1999,2000,72,SOUND EFFECTS EDITING,"Ren Klyce, Richard Hymns",Fight Club,False,0
3750,7996,1999,2000,72,WRITING (Screenplay Based on Material Previously Produced or Published),"Alexander Payne, Jim Taylor",Election,False,0
3752,8008,2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,True,5
3758,8014,2000,2001,73,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,Traffic,True,4
3761,8019,2000,2001,73,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Requiem for a Dream,False,0
3762,8020,2000,2001,73,ACTRESS IN A LEADING ROLE,Laura Linney,You Can Count on Me,False,0
3763,8024,2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Kate Hudson,Almost Famous,False,1
3764,8026,2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Julie Walters,Billy Elliot,False,0
3765,8027,2000,2001,73,ART DIRECTION,Tim Yip,"Crouching Tiger, Hidden Dragon",True,4
3769,8035,2000,2001,73,CINEMATOGRAPHY,Roger Deakins,"O Brother, Where Art Thou?",False,0
3788,8076,2000,2001,73,MUSIC (Original Song),Music by Björk; Lyric by Lars von Trier and Sjon Sigurdsson,Dancer in the Dark,False,0
3802,8116,2001,2002,74,ACTOR IN A LEADING ROLE,Russell Crowe,A Beautiful Mind,False,4
3809,8124,2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,False,4
3814,8137,2001,2002,74,ANIMATED FEATURE FILM,"Pete Docter, John Lasseter","Monsters, Inc.",False,1
3815,8138,2001,2002,74,ANIMATED FEATURE FILM,Aron Warner,Shrek,True,1
3816,8139,2001,2002,74,ART DIRECTION,Art Direction:  Aline Bonetto; Set Decoration:  Marie-Laure Valla,Amélie,False,0
3819,8147,2001,2002,74,CINEMATOGRAPHY,Roger Deakins,The Man Who Wasn't There,False,0
3821,8158,2001,2002,74,DIRECTING,David Lynch,Mulholland Drive,False,0
3830,8170,2001,2002,74,FILM EDITING,Dody Dorn,Memento,False,0
3849,8216,2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Daniel Clowes & Terry Zwigoff,Ghost World,False,0
3851,8228,2002,2003,75,ACTOR IN A LEADING ROLE,Adrien Brody,The Pianist,True,3
3857,8235,2002,2003,75,ACTOR IN A SUPPORTING ROLE,Paul Newman,Road to Perdition,False,1
3859,8237,2002,2003,75,ACTOR IN A SUPPORTING ROLE,Christopher Walken,Catch Me If You Can,False,0
3866,8251,2002,2003,75,ANIMATED FEATURE FILM,Hayao Miyazaki,Spirited Away,True,1
3868,8256,2002,2003,75,ART DIRECTION,Art Direction:  Grant Major; Set Decoration:  Dan Hennah and Alan Lee,The Lord of the Rings: The Two Towers,False,2
3869,8272,2002,2003,75,DIRECTING,Pedro Almodóvar,Talk to Her,False,1
3879,8288,2002,2003,75,FOREIGN LANGUAGE FILM,People's Republic of China,Hero,False,0
3896,8325,2002,2003,75,SOUND EDITING,"Richard Hymns, Gary Rydstrom",Minority Report,False,0
3901,8341,2003,2004,76,ACTOR IN A LEADING ROLE,Johnny Depp,Pirates of the Caribbean: The Curse of the Black Pearl,False,0
3904,8344,2003,2004,76,ACTOR IN A LEADING ROLE,Bill Murray,Lost in Translation,False,1
3905,8345,2003,2004,76,ACTOR IN A LEADING ROLE,Sean Penn,Mystic River,True,2
3907,8347,2003,2004,76,ACTOR IN A SUPPORTING ROLE,Benicio Del Toro,21 Grams,False,0
3908,8348,2003,2004,76,ACTOR IN A SUPPORTING ROLE,Djimon Hounsou,In America,False,0
3909,8350,2003,2004,76,ACTOR IN A SUPPORTING ROLE,Ken Watanabe,The Last Samurai,False,0
3910,8351,2003,2004,76,ACTRESS IN A LEADING ROLE,Keisha Castle-Hughes,Whale Rider,False,0
3916,8362,2003,2004,76,ANIMATED FEATURE FILM,Andrew Stanton,Finding Nemo,True,1
3919,8366,2003,2004,76,ART DIRECTION,Art Direction: Grant Major; Set Decoration: Dan Hennah and Alan Lee,The Lord of the Rings: The Return of the King,True,11
3922,8369,2003,2004,76,CINEMATOGRAPHY,Cesar Charlone,City of God,False,0
3936,8405,2003,2004,76,MUSIC (Original Score),Danny Elfman,Big Fish,False,0
3950,8452,2004,2005,77,ACTOR IN A LEADING ROLE,Don Cheadle,Hotel Rwanda,False,0
3951,8453,2004,2005,77,ACTOR IN A LEADING ROLE,Johnny Depp,Finding Neverland,False,1
3953,8455,2004,2005,77,ACTOR IN A LEADING ROLE,Clint Eastwood,Million Dollar Baby,False,4
3955,8458,2004,2005,77,ACTOR IN A SUPPORTING ROLE,Thomas Haden Church,Sideways,False,1
3961,8466,2004,2005,77,ACTRESS IN A LEADING ROLE,Kate Winslet,Eternal Sunshine of the Spotless Mind,False,1
3963,8472,2004,2005,77,ANIMATED FEATURE FILM,Brad Bird,The Incredibles,True,2
3984,8512,2004,2005,77,FOREIGN LANGUAGE FILM,Germany,Downfall,False,0
3985,8513,2004,2005,77,FOREIGN LANGUAGE FILM,Spain,The Sea Inside,True,1
4002,8554,2004,2005,77,WRITING (Adapted Screenplay),Screenplay by Richard Linklater & Julie Delpy & Ethan Hawke; Story by Richard Linklater & Kim Krizan,Before Sunset,False,0
4006,8569,2005,2006,78,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Walk the Line,False,1
4009,8572,2005,2006,78,ACTOR IN A SUPPORTING ROLE,Matt Dillon,Crash,False,3
4010,8573,2005,2006,78,ACTOR IN A SUPPORTING ROLE,Paul Giamatti,Cinderella Man,False,0
4018,8586,2005,2006,78,ANIMATED FEATURE FILM,Hayao Miyazaki,Howl's Moving Castle,False,0
4023,8594,2005,2006,78,CINEMATOGRAPHY,Wally Pfister,Batman Begins,False,0
4056,8676,2006,2007,79,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,Blood Diamond,False,0
4061,8681,2006,2007,79,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Little Miss Sunshine,True,2
4064,8685,2006,2007,79,ACTOR IN A SUPPORTING ROLE,Mark Wahlberg,The Departed,False,4
4074,8701,2006,2007,79,ART DIRECTION,Art Direction:  Eugenio Caballero; Set Decoration:  Pilar Revuelta,Pan's Labyrinth,True,3
4076,8703,2006,2007,79,ART DIRECTION,Art Direction:  Nathan Crowley; Set Decoration:  Julie Ochipinti,The Prestige,False,0
4078,8705,2006,2007,79,CINEMATOGRAPHY,Emmanuel Lubezki,Children of Men,False,0
4081,8716,2006,2007,79,DIRECTING,Clint Eastwood,Letters from Iwo Jima,False,1
4082,8718,2006,2007,79,DIRECTING,Paul Greengrass,United 93,False,0
4094,8735,2006,2007,79,FOREIGN LANGUAGE FILM,Germany,The Lives of Others,True,1
4114,8792,2007,2008,80,ACTOR IN A LEADING ROLE,Daniel Day-Lewis,There Will Be Blood,True,2
4119,8797,2007,2008,80,ACTOR IN A SUPPORTING ROLE,Javier Bardem,No Country for Old Men,True,4
4121,8799,2007,2008,80,ACTOR IN A SUPPORTING ROLE,Hal Holbrook,Into the Wild,False,0
4126,8805,2007,2008,80,ACTRESS IN A LEADING ROLE,Ellen Page,Juno,False,1
4128,8807,2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Ruby Dee,American Gangster,False,0
4129,8808,2007,2008,80,ACTRESS IN A SUPPORTING ROLE,Saoirse Ronan,Atonement,False,1
4132,8812,2007,2008,80,ANIMATED FEATURE FILM,Brad Bird,Ratatouille,True,1
4135,8821,2007,2008,80,CINEMATOGRAPHY,Janusz Kaminski,The Diving Bell and the Butterfly,False,0
4146,8843,2007,2008,80,FILM EDITING,Christopher Rouse,The Bourne Ultimatum,True,3
4155,8860,2007,2008,80,MUSIC (Original Score),Marco Beltrami,3:10 to Yuma,False,0
4173,8907,2008,2009,81,ACTOR IN A LEADING ROLE,Sean Penn,Milk,True,2
4174,8908,2008,2009,81,ACTOR IN A LEADING ROLE,Brad Pitt,The Curious Case of Benjamin Button,False,3
4175,8909,2008,2009,81,ACTOR IN A LEADING ROLE,Mickey Rourke,The Wrestler,False,0
4178,8913,2008,2009,81,ACTOR IN A SUPPORTING ROLE,Heath Ledger,The Dark Knight,True,2
4181,8916,2008,2009,81,ACTRESS IN A LEADING ROLE,Angelina Jolie,Changeling,False,0
4189,8937,2008,2009,81,CINEMATOGRAPHY,Anthony Dod Mantle,Slumdog Millionaire,True,8
4202,8964,2008,2009,81,FOREIGN LANGUAGE FILM,Japan,Departures,True,1
4220,9013,2008,2009,81,WRITING (Original Screenplay),Written by Martin McDonagh,In Bruges,False,0
4229,9026,2009,2010,82,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Inglourious Basterds,True,1
4239,9042,2009,2010,82,ART DIRECTION,Production Design: Rick Carter and Robert Stromberg; Set Decoration: Kim Sinclair,Avatar,True,3
4257,9073,2009,2010,82,FILM EDITING,Julian Clarke,District 9,False,0
4261,9080,2009,2010,82,FOREIGN LANGUAGE FILM,Argentina,The Secret in Their Eyes,True,1
4263,9083,2009,2010,82,MAKEUP,"Barney Burman, Mindy Hall and Joel Harlow",Star Trek,True,1
4279,9144,2010,2011,83,ACTOR IN A LEADING ROLE,Jesse Eisenberg,The Social Network,False,3
4280,9145,2010,2011,83,ACTOR IN A LEADING ROLE,Colin Firth,The King's Speech,True,4
4287,9155,2010,2011,83,ACTRESS IN A LEADING ROLE,Natalie Portman,Black Swan,True,1
4290,9162,2010,2011,83,ANIMATED FEATURE FILM,Chris Sanders and Dean DeBlois,How to Train Your Dragon,False,0
4291,9164,2010,2011,83,ANIMATED FEATURE FILM,Lee Unkrich,Toy Story 3,True,2
4293,9167,2010,2011,83,ART DIRECTION,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat,Inception,False,4
4308,9203,2010,2011,83,FOREIGN LANGUAGE FILM,Canada,Incendies,False,0
4333,9268,2011,2012,84,ACTOR IN A LEADING ROLE,Jean Dujardin,The Artist,True,5
4337,9273,2011,2012,84,ACTOR IN A SUPPORTING ROLE,Nick Nolte,Warrior,False,0
4341,9277,2011,2012,84,ACTRESS IN A LEADING ROLE,Viola Davis,The Help,False,1
4351,9293,2011,2012,84,ART DIRECTION,Production Design: Dante Ferretti; Set Decoration: Francesca Lo Schiavo,Hugo,True,5
4372,9330,2011,2012,84,FOREIGN LANGUAGE FILM,Iran,A Separation,True,1
4386,9360,2011,2012,84,SOUND EDITING,Lon Bender and Victor Ray Ennis,Drive,False,0
4397,9393,2012,2013,85,ACTOR IN A SUPPORTING ROLE,Alan Arkin,Argo,False,3
4398,9397,2012,2013,85,ACTOR IN A SUPPORTING ROLE,Christoph Waltz,Django Unchained,True,2
4410,9415,2012,2013,85,CINEMATOGRAPHY,Claudio Miranda,Life of Pi,True,4
4428,9449,2012,2013,85,MAKEUP AND HAIRSTYLING,"Peter Swords King, Rick Findlater and Tami Lane",The Hobbit: An Unexpected Journey,False,0
4446,9516,2013,2014,86,ACTOR IN A LEADING ROLE,Leonardo DiCaprio,The Wolf of Wall Street,False,0
4447,9517,2013,2014,86,ACTOR IN A LEADING ROLE,Chiwetel Ejiofor,12 Years a Slave,False,3
4451,9526,2013,2014,86,ACTRESS IN A LEADING ROLE,Sandra Bullock,Gravity,False,7
4461,9543,2013,2014,86,CINEMATOGRAPHY,Roger A. Deakins,Prisoners,False,0
4474,9571,2013,2014,86,FOREIGN LANGUAGE FILM,Denmark,The Hunt,False,0
4495,9614,2013,2014,86,SOUND EDITING,Brent Burge and Chris Ward,The Hobbit: The Desolation of Smaug,False,0
4499,9626,2013,2014,86,WRITING (Adapted Screenplay),"Written by Richard Linklater, Julie Delpy, Ethan Hawke",Before Midnight,False,0
4502,9642,2014,2015,87,ACTOR IN A LEADING ROLE,Benedict Cumberbatch,The Imitation Game,False,1
4506,9646,2014,2015,87,ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Boyhood,False,1
4507,9649,2014,2015,87,ACTOR IN A SUPPORTING ROLE,J.K. Simmons,Whiplash,True,3
4510,9653,2014,2015,87,ACTRESS IN A LEADING ROLE,Rosamund Pike,Gone Girl,False,0
4518,9666,2014,2015,87,CINEMATOGRAPHY,Robert Yeoman,The Grand Budapest Hotel,False,4
4535,9697,2014,2015,87,FOREIGN LANGUAGE FILM,Estonia,Tangerines,False,0
4537,9699,2014,2015,87,FOREIGN LANGUAGE FILM,Argentina,Wild Tales,False,0
4538,9702,2014,2015,87,MAKEUP AND HAIRSTYLING,Elizabeth Yianni-Georgiou and David White,Guardians of the Galaxy,False,0
4539,9705,2014,2015,87,MUSIC (Original Score),Hans Zimmer,Interstellar,False,1
4558,9750,2014,2015,87,VISUAL EFFECTS,"Richard Stammers, Lou Pecora, Tim Crosbie and Cameron Waldbauer",X-Men: Days of Future Past,False,0
4561,9766,2015,2016,88,ACTOR IN A LEADING ROLE,Matt Damon,The Martian,False,0
4566,9772,2015,2016,88,ACTOR IN A SUPPORTING ROLE,Mark Ruffalo,Spotlight,False,2
4568,9774,2015,2016,88,ACTOR IN A SUPPORTING ROLE,Sylvester Stallone,Creed,False,0
4570,9776,2015,2016,88,ACTRESS IN A LEADING ROLE,Brie Larson,Room,True,1
4577,9787,2015,2016,88,ANIMATED FEATURE FILM,Pete Docter and Jonas Rivera,Inside Out,True,1
4580,9792,2015,2016,88,CINEMATOGRAPHY,John Seale,Mad Max: Fury Road,False,6
4617,9890,2016,2017,89,ACTOR IN A LEADING ROLE,Andrew Garfield,Hacksaw Ridge,False,2
4618,9891,2016,2017,89,ACTOR IN A LEADING ROLE,Ryan Gosling,La La Land,False,6
4634,9913,2016,2017,89,ANIMATED FEATURE FILM,"Byron Howard, Rich Moore and Clark Spencer",Zootopia,True,1
4635,9914,2016,2017,89,CINEMATOGRAPHY,Bradford Young,Arrival,False,1
4672,9994,2016,2017,89,SOUND MIXING,"David Parker, Christopher Scarabosio and Stuart Wilson",Rogue One: A Star Wars Story,False,0
4692,10037,2017,2018,90,ANIMATED FEATURE FILM,Lee Unkrich and Darla K. Anderson,Coco,True,2
4695,10040,2017,2018,90,CINEMATOGRAPHY,Roger A. Deakins,Blade Runner 2049,True,2
4696,10042,2017,2018,90,CINEMATOGRAPHY,Hoyte van Hoytema,Dunkirk,False,3
4731,10129,2017,2018,90,WRITING (Adapted Screenplay),Screenplay by Scott Frank & James Mangold and Michael Green; Story by James Mangold,Logan,False,0
4736,10145,2018,2019,91,ACTOR IN A LEADING ROLE,Rami Malek,Bohemian Rhapsody,True,4
4737,10146,2018,2019,91,ACTOR IN A LEADING ROLE,Viggo Mortensen,Green Book,False,3
4740,10152,2018,2019,91,ACTRESS IN A LEADING ROLE,Yalitza Aparicio,Roma,False,3
4748,10166,2018,2019,91,ANIMATED FEATURE FILM,"Bob Persichetti, Peter Ramsey, Rodney Rothman, Phil Lord and Christopher Miller",Spider-Man: Into the Spider-Verse,True,1
4764,10197,2018,2019,91,FOREIGN LANGUAGE FILM,Lebanon,Capernaum,False,0
4779,10248,2018,2019,91,VISUAL EFFECTS,"Dan DeLeeuw, Kelly Port, Russell Earl and Dan Sudick",Avengers: Infinity War,False,0
4786,10269,2019,2020,92,ACTOR IN A LEADING ROLE,Adam Driver,Marriage Story,False,1
4787,10270,2019,2020,92,ACTOR IN A LEADING ROLE,Joaquin Phoenix,Joker,True,2
4790,10274,2019,2020,92,ACTOR IN A SUPPORTING ROLE,Al Pacino,The Irishman,False,0
4798,10289,2019,2020,92,ANIMATED FEATURE FILM,"Sergio Pablos, Jinko Gotoh and Marisa Román",Klaus,False,0
4802,10295,2019,2020,92,CINEMATOGRAPHY,Roger Deakins,1917,True,3
4803,10306,2019,2020,92,DIRECTING,Bong Joon Ho,Parasite,True,4
4814,10317,2019,2020,92,FILM EDITING,Michael McCusker and Andrew Buckland,Ford v Ferrari,True,2
4832,10376,2019,2020,92,VISUAL EFFECTS,"Dan DeLeeuw, Russell Earl, Matt Aitken and Dan Sudick",Avengers: Endgame,False,0
