,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
79,1929,1930,3,ACTRESS,Nancy Carroll,The Devil's Holiday,False,0
80,1929,1930,3,ACTRESS,Ruth Chatterton,Sarah and Son,False,0
81,1929,1930,3,ACTRESS,Greta Garbo,Anna Christie,False,0
82,1929,1930,3,ACTRESS,Norma Shearer,The Divorcee,True,1
83,1929,1930,3,ACTRESS,Norma Shearer,Their Own Desire,False,0
84,1929,1930,3,ACTRESS,Gloria Swanson,The Trespasser,False,0
85,1929,1930,3,ART DIRECTION,(William Cameron Menzies),Bulldog Drummond,False,0
86,1929,1930,3,ART DIRECTION,Herman Rosse,King of Jazz,True,1
87,1929,1930,3,ART DIRECTION,(Hans Dreier),The Love Parade,False,0
88,1929,1930,3,ART DIRECTION,(Jack Okey),Sally,False,0
89,1929,1930,3,ART DIRECTION,(Hans Dreier),The Vagabond King,False,0
90,1929,1930,3,CINEMATOGRAPHY,(Arthur Edeson),All Quiet on the Western Front,False,2
91,1929,1930,3,CINEMATOGRAPHY,(William Daniels),Anna Christie,False,0
92,1929,1930,3,CINEMATOGRAPHY,"(Gaetano Gaudio), (Harry Perry)",Hell's Angels,False,0
93,1929,1930,3,CINEMATOGRAPHY,(Victor Milner),The Love Parade,False,0
94,1929,1930,3,CINEMATOGRAPHY,"Joseph T. Rucker, Willard Van Der Veer",With Byrd at the South Pole,True,1
95,1929,1930,3,DIRECTING,Clarence Brown,Anna Christie;,False,0
96,1929,1930,3,DIRECTING,Robert Leonard,The Divorcee,False,1
97,1929,1930,3,DIRECTING,Ernst Lubitsch,The Love Parade,False,0
98,1929,1930,3,DIRECTING,Lewis Milestone,All Quiet on the Western Front,True,2
99,1929,1930,3,DIRECTING,King Vidor,Hallelujah,False,0
100,1929,1930,3,OUTSTANDING PRODUCTION,Universal,All Quiet on the Western Front,True,2
101,1929,1930,3,OUTSTANDING PRODUCTION,Cosmopolitan,The Big House,False,2
102,1929,1930,3,OUTSTANDING PRODUCTION,Warner Bros.,Disraeli,False,1
103,1929,1930,3,OUTSTANDING PRODUCTION,Metro-Goldwyn-Mayer,The Divorcee,False,1
104,1929,1930,3,OUTSTANDING PRODUCTION,Paramount Famous Lasky,The Love Parade,False,0
105,1929,1930,3,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",The Big House,True,2
106,1929,1930,3,SOUND RECORDING,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)",The Case of Sergeant Grischa,False,0
107,1929,1930,3,SOUND RECORDING,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)",The Love Parade,False,0
