Title,AgeRating,Languages
Bohemian Rhapsody,"['English', 'British Sign Language']",
"Three Billboards Outside Ebbing, Missouri",['English'],
Roma,"['Spanish', 'Mixtec', 'English', 'Japanese', 'German', 'French', 'Norwegian']",
Sanjuro,['Japanese'],
Tangerines,"['Estonian', 'Russian', 'Georgian']",
Joker,['English'],
Parasite,"['Korean', 'English']",
Avengers: Endgame,"['English', 'Japanese', 'Xhosa', 'German']",
Capernaum,"['Arabic', 'Amharic']",
Green Book,"['English', 'Italian', 'Russian', 'German']",
Ford v Ferrari,"['English', 'Italian', 'French', 'Japanese']",
Marriage Story,"['English', 'Spanish']",
Andhadhun,"['Hindi', 'English']",
Klaus,"['English', 'Saami']",
The Irishman,"['English', 'Italian', 'Latin', 'Spanish', 'German']",
The Red Shoes,"['English', 'French', 'Russian']",
Ace in the Hole,"['English', 'Spanish', 'Latin']",
White Heat,['English'],
PK,['Hindi'],
Hamilton,['English'],
1917,"['English', 'French', 'German']",
Soul,"['English', 'Korean', 'Inuktitut']",
Anand,['Hindi'],
Autumn Sonata,"['Swedish', 'English']",
Time of the Gypsies,"['Romany', 'Serbo-Croatian', 'Italian', 'English', 'German', 'Macedonian', 'Slovenian']",
Vikram Vedha,['Tamil'],
Portrait of a Lady on Fire,"['French', 'Italian']",
The Invisible Guest,"['Spanish', 'English']",
Winter Sleep,"['Turkish', 'English']",
Spider-Man: No Way Home,['English'],
The Father,['English'],
Pather Panchali,['Bengali'],
Jai Bhim,"['Tamil', 'Hindi']",
Dersu Uzala,"['Russian', 'Chinese']",
Dune,"['English', 'Mandarin']",
Z,"['French', 'Russian', 'English']",
A Silent Voice: The Movie,"['Japanese', 'Japanese Sign Language']",
Neon Genesis Evangelion: The End of Evangelion,['Japanese'],
Raatchasan,['Tamil'],
Sardar Udham,"['Hindi', 'English', 'Russian']",
