Title,AgeRating,Languages
Pump Up the Volume,['English'],
The Bridge on the River Kwai,"['English', 'Japanese', 'Thai']",
Stand by Me,['English'],
Mallrats,['English'],
The Treasure of the Sierra Madre,"['English', 'Spanish']",
The Shining,['English'],
M,['German'],
The Gold Rush,['English'],
My Fair Lady,['English'],
Phenomenon,"['Portuguese', 'Spanish', 'English']",
The Great Escape,"['English', 'German', 'French', 'Russian', 'Spanish']",
Naked,['English'],
Big Night,"['English', 'Italian']",
Evil Dead II,"['English', 'Latin']",
Somewhere in Time,['English'],
Strange Brew,['English'],
The Sound of Music,"['English', 'German']",
Diva,"['French', 'English', 'Italian', 'Latin']",
Strictly Ballroom,"['English', 'Spanish']",
All About Eve,"['English', 'French']",
Forrest Gump,['English'],
Duck Soup,['English'],
Bad Taste,"['English', 'Maori']",
Patton,"['English', 'German', 'French', 'Russian', 'Arabic', 'Italian']",
National Lampoon's Animal House,"['English', 'Italian']",
Akira,['Japanese'],
Beauty and the Beast,"['English', 'French']",
The Long Kiss Goodnight,['English'],
Down by Law,"['English', 'Italian', 'French']",
Dawn of the Dead,"['English', 'Spanish']",
Koyaanisqatsi,"['None', 'Hopi', 'English']",
Before Sunrise,"['English', 'German', 'French']",
Cyrano de Bergerac,['French'],
Groundhog Day,"['English', 'French', 'Italian']",
Cool Hand Luke,['English'],
Back to the Future,['English'],
Highlander,['English'],
The Remains of the Day,"['English', 'French', 'German']",
Pink Floyd: The Wall,['English'],
The Philadelphia Story,"['English', 'French']",
City Lights,"['None', 'English']",
Night on Earth,"['English', 'French', 'Finnish', 'Italian', 'German']",
Jean de Florette,['French'],
Leaving Las Vegas,"['English', 'Russian']",
Young Frankenstein,"['English', 'German']",
Arsenic and Old Lace,"['English', 'German']",
Unforgiven,['English'],
The Manchurian Candidate,"['English', 'Spanish']",
Little Women,"['English', 'German', 'French']",
Shallow Grave,['English'],
Fantasia,['English'],
Ben-Hur,['English'],
This Is Spinal Tap,['English'],
The Great Dictator,"[<span class=""ipc-chip__text"" role=""presentation"">invented language</span>, 'English', 'Esperanto', 'Latin']",
Exotica,"['English', 'Hebrew']",
The Big Sleep,['English'],
High Noon,"['English', 'Spanish']",
Sabrina,"['English', 'French']",
Being There,"['English', 'Russian', 'Italian']",
Heathers,['English'],
A Christmas Story,['English'],
The Unbearable Lightness of Being,"['English', 'Czech']",
Die Hard,"['English', 'German', 'Italian', 'Japanese']",
Willy Wonka & the Chocolate Factory,"['English', 'French', 'German', 'Italian']",
Some Kind of Wonderful,['English'],
Aladdin,['English'],
A Room with a View,"['English', 'Italian']",
Indiana Jones and the Last Crusade,"['English', 'German', 'Greek', 'Arabic']",
"The Adventures of Priscilla, Queen of the Desert","['English', 'Filipino']",
Independence Day,['English'],
Forbidden Planet,['English'],
Strange Days,['English'],
Fried Green Tomatoes,['English'],
Until the End of the World,"['English', 'French', 'Italian', 'Japanese', 'German']",
Raise the Red Lantern,['Mandarin'],
In the Name of the Father,['English'],
Farewell My Concubine,['Mandarin'],
Real Genius,['English'],
"Paris, Texas","['English', 'Spanish']",
Sleepers,['English'],
Priest,"['Latin', 'English']",
Field of Dreams,['English'],
Gandhi,"['English', 'Hindi']",
