Title,Languages,AgeRating
Kill Bill: Vol. 2,R,"['English', 'Cantonese', 'Mandarin', 'Spanish']"
,,
Full Metal Jacket,R,"['English', 'Vietnamese']"
,,
How to Train Your Dragon,PG,['English']
,,
Silver Linings Playbook,R,['English']
,,
X-Men: Days of Future Past,PG-13,"['English', 'Vietnamese', 'French']"
,,
Captain America: Civil War,PG-13,"['English', 'German', 'Xhosa', 'Russian', 'Romanian', 'Hindi']"
,,
The Incredibles,PG,"['English', 'French']"
,,
Pirates of the Caribbean: Dead Man's Chest,PG-13,"['English', 'Turkish', 'Greek', 'Mandarin', 'French']"
,,
Aliens,R,['English']
,,
Harry Potter and the Sorcerer's Stone,PG,"['English', 'Latin']"
,,
X: First Class,PG-13,"['English', 'German', 'French', 'Spanish', 'Russian']"
,,
Sen to Chihiro no kamikakushi,PG,"['Japanese', 'English']"
,,
Logan,R,"['English', 'Spanish']"
,,
District 9,R,"['English', 'Nyanja', 'Afrikaans', 'Zulu', 'Xhosa', 'Sotho']"
,,
The King's Speech,R,['English']
,,
Star Wars: Episode II - Attack of the Clones,PG,['English']
,,
Ratatouille,G,"['English', 'French']"
,,
12 Years a Slave,R,['English']
,,
Million Dollar Baby,PG-13,"['English', 'Irish Gaelic']"
,,
Trainspotting,R,['English']
,,
Skyfall,PG-13,"['English', 'Turkish', 'Shanghainese', 'Portuguese', 'Japanese']"
,,
Batman v Superman: Dawn of Justice,PG-13,['English']
,,
The Social Network,PG-13,"['English', 'French']"
,,
Black Panther,PG-13,"['English', 'Swahili', 'Nama', 'Xhosa', 'Korean']"
,,
La vita è bella,PG-13,"['Italian', 'German', 'English']"
,,
Pan's Labyrinth,R,['Spanish']
,,
Fargo,R,"['English', 'German', 'Korean', 'Spanish', 'American Sign Language', 'French', 'Ukrainian', 'Hebrew', 'Russian']"
,,
The Hunger Games: Catching Fire,PG-13,['English']
,,
Shrek,PG,['English']
,,
Inside Out,PG,"['English', 'Portuguese']"
,,
The Bourne Ultimatum,PG-13,"['English', 'French', 'Arabic', 'Russian', 'Spanish']"
,,
Apocalypse Now,R,"['English', 'French', 'Vietnamese']"
,,
Psycho,R,['English']
,,
2001: A Space Odyssey,G,"['English', 'Russian', 'French']"
,,
World War Z,PG-13,"['English', 'Spanish', 'Hebrew', 'Arabic']"
,,
The Hobbit: The Desolation of Smaug,PG-13,['English']
,,
Suicide Squad,PG-13,"['English', 'Japanese', 'Spanish']"
,,
Edge of Tomorrow,PG-13,['English']
,,
Transformers,PG-13,"['English', 'Spanish']"
,,
Prisoners,R,['English']
,,
Now You See Me,PG-13,"['English', 'French']"
,,
Pirates of the Caribbean: At World's End,PG-13,['English']
,,
Thor: The Dark World,PG-13,['English']
,,
Doctor Strange,PG-13,['English']
,,
Arrival,PG-13,"['English', 'Russian', 'Mandarin']"
,,
Kingsman: The Secret Service,R,"['English', 'Arabic', 'Swedish']"
,,
The Curious Case of Benjamin Button,PG-13,"['English', 'Russian', 'French']"
,,
Sherlock Holmes,PG-13,"['English', 'French']"
,,
Casino Royale,PG-13,"['English', 'Serbian', 'German', 'Italian', 'French']"
,,
Thor: Ragnarok,PG-13,['English']
,,
Life of Pi,PG,"['English', 'Hindi', 'Japanese', 'French']"
,,
Jurassic World,PG-13,['English']
,,
Star Trek,PG-13,['English']
,,
