,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
1727,88,Renegades,"$9,015,164",1989,"$9,015,164",100%,-,-
1728,89,Scandal,"$8,800,000",1989,"$8,800,000",100%,-,-
1729,90,True Believer,"$8,742,750",1989,"$8,742,750",100%,-,-
1730,91,Troop Beverly Hills,"$8,508,843",1989,"$8,508,843",100%,-,-
1731,92,Cheetah,"$8,153,677",1989,"$8,153,677",100%,-,-
1732,93,DeepStar Six,"$8,143,225",1989,"$8,143,225",100%,-,-
1733,94,Dead Bang,"$8,125,592",1989,"$8,125,592",100%,-,-
1734,95,The Adventures of Baron Munchausen,"$8,083,123",1989,"$8,083,123",100%,-,-
1735,96,Dead Calm,"$7,825,009",1989,"$7,825,009",100%,-,-
1736,97,"Enemies, A Love Story","$7,754,571",1989,"$7,754,571",100%,-,-
1737,98,Disorganized Crime,"$7,723,506",1989,"$7,723,506",100%,-,-
1738,99,Johnny Handsome,"$7,237,794",1989,"$7,237,794",100%,-,-
1739,100,Lawrence of Arabia 1989 Re-release,"$6,986,278",1989,"$6,986,278",100%,-,-
1740,101,Relentless,"$6,985,999",1989,"$6,985,999",100%,-,-
1741,102,Shag,"$6,957,975",1989,"$6,957,975",100%,-,-
1742,103,Roger & Me,"$6,706,368",1989,"$6,706,368",100%,-,-
1743,104,Music Box,"$6,263,883",1989,"$6,263,883",100%,-,-
1744,105,UHF,"$6,157,157",1989,"$6,157,157",100%,-,-
1745,106,Shirley Valentine,"$6,056,912",1989,"$6,056,912",100%,-,-
1746,107,Immediate Family,"$5,932,613",1989,"$5,932,613",100%,-,-
1747,108,Millennium,"$5,777,099",1989,"$5,777,099",100%,-,-
1748,109,Dream a Little Dream,"$5,552,441",1989,"$5,552,441",100%,-,-
1749,110,Second Sight,"$5,368,865",1989,"$5,368,865",100%,-,-
1750,111,Let It Ride,"$4,973,285",1989,"$4,973,285",100%,-,-
1751,112,See You in the Morning,"$4,795,009",1989,"$4,795,009",100%,-,-
1752,113,Drugstore Cowboy,"$4,729,352",1989,"$4,729,352",100%,-,-
1753,114,The January Man,"$4,611,062",1989,"$4,611,062",100%,-,-
1754,115,The Mighty Quinn,"$4,557,214",1989,"$4,557,214",100%,-,-
1755,116,Staying Together,"$4,348,025",1989,"$4,348,025",100%,-,-
1756,117,Listen to Me,"$4,299,023",1989,"$4,299,023",100%,-,-
1757,118,Red Scorpion,"$4,192,440",1989,"$4,192,440",100%,-,-
1758,119,Loverboy,"$3,960,327",1989,"$3,960,327",100%,-,-
1759,120,The Phantom of the Opera,"$3,953,745",1989,"$3,953,745",100%,-,-
1760,121,Earth Girls Are Easy,"$3,916,303",1989,"$3,916,303",100%,-,-
1761,122,A Dry White Season,"$3,766,879",1989,"$3,766,879",100%,-,-
1762,123,Worth Winning,"$3,690,328",1989,"$3,690,328",100%,-,-
1763,124,Old Gringo,"$3,574,256",1989,"$3,574,256",100%,-,-
1764,125,Fat Man and Little Boy,"$3,563,162",1989,"$3,563,162",100%,-,-
1765,126,Physical Evidence,"$3,560,932",1989,"$3,560,932",100%,-,-
1766,127,In Country,"$3,531,971",1989,"$3,531,971",100%,-,-
1767,128,Kinjite: Forbidden Subjects,"$3,416,846",1989,"$3,416,846",100%,-,-
1768,129,Camille Claudel,"$3,331,297",1989,"$3,331,297",100%,-,-
1769,130,Rude Awakening,"$3,169,719",1989,"$3,169,719",100%,-,-
1770,131,Speed Zone,"$3,077,361",1989,"$3,077,361",100%,-,-
1771,132,Fright Night Part 2,"$2,983,784",1989,"$2,983,784",100%,-,-
1772,133,976-EVIL,"$2,955,917",1989,"$2,955,917",100%,-,-
1773,134,The Adventures of Milo and Otis,"$2,948,215",1989,"$2,948,215",100%,-,-
1774,135,Gleaming the Cube,"$2,777,280",1989,"$2,777,280",100%,-,-
1775,136,Farewell to the King,"$2,420,917",1989,"$2,420,917",100%,-,-
1776,137,Gone with the Wind 1989 Re-release,"$2,403,316",1989,"$2,403,316",100%,-,-
1777,138,Chocolat,"$2,317,091",1989,"$2,317,091",100%,-,-
1778,139,Sing,"$2,260,616",1989,"$2,260,616",100%,-,-
1779,140,Scenes from the Class Struggle in Beverly Hills,"$2,156,471",1989,"$2,156,471",100%,-,-
1780,141,Jacknife,"$2,049,769",1989,"$2,049,769",100%,-,-
1781,142,Rooftops,"$2,043,889",1989,"$2,043,889",100%,-,-
1782,143,Winter People,"$2,023,282",1989,"$2,023,282",100%,-,-
1783,144,Erik the Viking,"$1,932,642",1989,"$1,932,642",100%,-,-
1784,145,Communion,"$1,919,653",1989,"$1,919,653",100%,-,-
1785,146,Breaking In,"$1,877,618",1989,"$1,877,618",100%,-,-
1786,147,Cookie,"$1,869,417",1989,"$1,869,417",100%,-,-
1787,148,Miss Firecracker,"$1,852,655",1989,"$1,852,655",100%,-,-
1788,149,Bloodfist,"$1,770,082",1989,"$1,770,082",100%,-,-
1789,150,The Horror Show,"$1,738,897",1989,"$1,738,897",100%,-,-
1790,151,Best of the Best,"$1,700,000",1989,"$1,700,000",100%,-,-
1791,152,How I Got Into College,"$1,642,239",1989,"$1,642,239",100%,-,-
1792,153,Stepfather II: Make Room for Daddy,"$1,519,796",1989,"$1,519,796",100%,-,-
1793,154,The Simpsons: Family Portrait/Beat Dedication/Propagandance/Scaredy Cat!/Rarg/Knick Knack/Pencil Dance/Quinoscopio 2/Umbabarauma/Goodnight Norma... Goodnight Milton.../Tin Toy/25 Ways to Quit Smoking,"$1,487,606",1989,"$1,487,606",100%,-,-
1794,155,True Love,"$1,354,268",1989,"$1,354,268",100%,-,-
1795,156,The Navigator: A Medieval Odyssey,"$1,333,379",1989,"$1,333,379",100%,-,-
1796,157,Romero,"$1,316,495",1989,"$1,316,495",100%,-,-
1797,158,Babar: The Movie,"$1,305,187",1989,"$1,305,187",100%,-,-
1798,159,Apartment Zero,"$1,267,578",1989,"$1,267,578",100%,-,-
1799,160,Little Vera,"$1,262,598",1989,"$1,262,598",100%,-,-
1800,161,Queen of Hearts,"$1,236,844",1989,"$1,236,844",100%,-,-
1801,162,High Hopes,"$1,192,322",1989,"$1,192,322",100%,-,-
1802,163,Murmur of the Heart,"$1,160,784",1989,"$1,160,784",100%,-,-
1803,164,Miracle Mile,"$1,145,404",1989,"$1,145,404",100%,-,-
1804,165,Valmont,"$1,132,112",1989,"$1,132,112",100%,-,-
1805,166,Heathers,"$1,108,462",1989,"$1,108,462",100%,-,-
1806,167,Heart of Dixie,"$1,097,333",1989,"$1,097,333",100%,-,-
1807,168,Wired,"$1,089,000",1989,"$1,089,000",100%,-,-
1808,169,The Music Teacher,"$1,086,894",1989,"$1,086,894",100%,-,-
1809,170,Welcome Home,"$1,029,822",1989,"$1,029,822",100%,-,-
1810,171,Pumpkinhead 1989 Re-release,"$1,000,000",1989,"$1,000,000",100%,-,-
1811,172,Getting It Right,"$960,385",1989,"$960,385",100%,-,-
1812,173,American Ninja 3: Blood Hunt,"$902,152",1989,"$902,152",100%,-,-
1813,174,Parents,"$870,532",1989,"$870,532",100%,-,-
1814,175,Crack House,"$862,551",1989,"$862,551",100%,-,-
1815,176,The Terror Within,"$858,591",1989,"$858,591",100%,-,-
1816,177,Little Monsters,"$793,775",1989,"$793,775",100%,-,-
1817,178,The Toxic Avenger Part II,"$792,966",1989,"$792,966",100%,-,-
1818,179,For All Mankind,"$770,132",1989,"$770,132",100%,-,-
1819,180,The Girl in a Swing,"$747,013",1989,"$747,013",100%,-,-
1820,181,Vampire's Kiss,"$725,131",1989,"$725,131",100%,-,-
1821,182,"Distant Voices, Still Lives","$688,329",1989,"$688,329",100%,-,-
1822,183,Wuthering Heights,"$624,643",1989,"$624,643",100%,-,-
1823,184,The Wizard of Oz 1989 Re-release,"$612,300",1989,"$612,300",100%,-,-
1824,185,Eddie and the Cruisers II: Eddie Lives!,"$536,508",1989,"$536,508",100%,-,-
1825,186,"Thelonious Monk: Straight, No Chaser","$518,918",1989,"$518,918",100%,-,-
1826,187,Slaves of New York,"$463,972",1989,"$463,972",100%,-,-
1827,188,The Rainbow,"$444,055",1989,"$444,055",100%,-,-
1828,189,Akira,"$439,162",1989,"$439,162",100%,-,-
1829,190,How to Get Ahead in Advertising,"$418,053",1989,"$418,053",100%,-,-
1830,191,Triumph of the Spirit,"$408,839",1989,"$408,839",100%,-,-
1831,192,The Toxic Avenger Part III: The Last Temptation of Toxie,"$363,561",1989,"$363,561",100%,-,-
1832,193,Night Game,"$337,812",1989,"$337,812",100%,-,-
1833,194,Crusoe,"$315,421",1989,"$315,421",100%,-,-
1834,195,Out Cold,"$294,266",1989,"$294,266",100%,-,-
1835,196,Powwow Highway,"$283,747",1989,"$283,747",100%,-,-
1836,197,Kill Me Again,"$283,694",1989,"$283,694",100%,-,-
1837,198,Heavy Petting,"$272,371",1989,"$272,371",100%,-,-
1838,199,Paperhouse,"$241,278",1989,"$241,278",100%,-,-
1839,200,Weapons of the Spirit,"$232,981",1989,"$232,981",100%,-,-
1840,1,Home Alone,"$285,761,244",1990,"$285,761,243",100%,$1,<0.1%
1841,2,Ghost,"$217,631,306",1990,"$217,631,306",100%,-,-
1842,3,Dances with Wolves,"$184,208,848",1990,"$184,208,848",100%,-,-
1843,4,Pretty Woman,"$178,406,268",1990,"$178,406,268",100%,-,-
1844,5,Teenage Mutant Ninja Turtles,"$135,265,915",1990,"$135,265,915",100%,-,-
1845,6,The Hunt for Red October,"$122,012,643",1990,"$122,012,643",100%,-,-
1846,7,Total Recall,"$119,394,840",1990,"$119,394,840",100%,-,-
1847,8,Die Hard 2,"$117,540,947",1990,"$117,540,947",100%,-,-
1848,9,Dick Tracy,"$103,738,726",1990,"$103,738,726",100%,-,-
1849,10,Kindergarten Cop,"$91,457,688",1990,"$91,457,688",100%,-,-
1850,11,Back to the Future Part III,"$87,727,583",1990,"$87,727,583",100%,-,-
1851,12,Days of Thunder,"$87,163,545",1990,"$82,670,733",94.8%,"$4,492,812",5.2%
1852,13,Presumed Innocent,"$86,303,188",1990,"$86,303,188",100%,-,-
1853,14,Another 48 Hrs.,"$80,818,974",1990,"$80,818,974",100%,-,-
1854,15,Three Men and a Little Lady,"$71,609,321",1990,"$71,609,321",100%,-,-
1855,16,Bird on a Wire,"$70,978,012",1990,"$70,978,012",100%,-,-
1856,17,The Godfather: Part III,"$66,666,062",1990,"$66,666,062",100%,-,-
1857,18,Flatliners,"$61,489,265",1990,"$61,489,265",100%,-,-
1858,19,Misery,"$61,276,872",1990,"$61,276,872",100%,-,-
1859,20,Edward Scissorhands,"$56,362,352",1990,"$56,362,352",100%,-,-
1860,21,Problem Child,"$53,470,891",1990,"$53,470,891",100%,-,-
1861,22,Arachnophobia,"$53,208,180",1990,"$53,208,180",100%,-,-
1862,23,Awakenings,"$52,096,475",1990,"$52,096,475",100%,-,-
1863,24,Look Who's Talking Too,"$47,789,074",1990,"$47,789,074",100%,-,-
1864,25,Hard to Kill,"$47,410,827",1990,"$47,410,827",100%,-,-
1865,26,Goodfellas,"$46,836,214",1990,"$46,836,214",100%,-,-
1866,27,Marked for Death,"$46,044,396",1990,"$46,044,396",100%,-,-
1867,28,RoboCop 2,"$45,681,173",1990,"$45,681,173",100%,-,-
1868,29,The Jungle Book 1990 Re-release,"$44,645,619",1990,"$44,645,619",100%,-,-
1869,30,Young Guns II,"$44,143,410",1990,"$44,143,410",100%,-,-
1870,31,Gremlins 2: The New Batch,"$41,482,207",1990,"$41,482,207",100%,-,-
1871,32,Rocky V,"$40,946,358",1990,"$40,946,358",100%,-,-
1872,33,Joe Versus the Volcano,"$39,404,261",1990,"$39,404,261",100%,-,-
1873,34,Postcards from the Edge,"$39,071,603",1990,"$39,071,603",100%,-,-
1874,35,Mermaids,"$35,419,397",1990,"$35,419,397",100%,-,-
1875,36,Darkman,"$33,878,502",1990,"$33,878,502",100%,-,-
1876,37,Air America,"$31,053,601",1990,"$31,053,601",100%,-,-
1877,38,Predator 2,"$30,669,413",1990,"$30,669,413",100%,-,-
1878,39,Green Card,"$29,888,235",1990,"$29,888,235",100%,-,-
1879,40,Pacific Heights,"$29,381,956",1990,"$29,381,956",100%,-,-
1880,41,Child's Play 2,"$28,501,605",1990,"$28,501,605",100%,-,-
1881,42,The Rescuers Down Under,"$27,931,461",1990,"$27,931,461",100%,-,-
1882,43,Internal Affairs,"$27,734,391",1990,"$27,734,391",100%,-,-
1883,44,Cadillac Man,"$27,627,310",1990,"$27,627,310",100%,-,-
1884,45,Memphis Belle,"$27,441,977",1990,"$27,441,977",100%,-,-
1885,46,House Party,"$26,385,627",1990,"$26,385,627",100%,-,-
1886,47,Jacob's Ladder,"$26,118,851",1990,"$26,118,851",100%,-,-
1887,48,The Exorcist III,"$26,098,824",1990,"$26,098,824",100%,-,-
1888,49,Fantasia 1990 Re-release,"$25,363,371",1990,"$25,363,371",100%,-,-
1889,50,Navy Seals,"$25,069,101",1990,"$25,069,101",100%,-,-
1890,51,Ernest Goes to Jail,"$25,029,569",1990,"$25,029,569",100%,-,-
1891,52,Ghost Dad,"$24,707,633",1990,"$24,707,633",100%,-,-
1892,53,My Blue Heaven,"$23,591,472",1990,"$23,591,472",100%,-,-
1893,54,The Russia House,"$22,997,992",1990,"$22,997,992",100%,-,-
1894,55,The First Power,"$22,424,195",1990,"$22,424,195",100%,-,-
1895,56,The Rookie,"$21,633,874",1990,"$21,633,874",100%,-,-
1896,57,The Freshman,"$21,460,601",1990,"$21,460,601",100%,-,-
1897,58,The Adventures of Ford Fairlane,"$21,413,502",1990,"$21,413,502",100%,-,-
1898,59,Quigley Down Under,"$21,413,105",1990,"$21,413,105",100%,-,-
1899,60,Madhouse,"$21,036,771",1990,"$21,036,771",100%,-,-
1900,61,Hamlet,"$20,710,451",1990,"$20,710,451",100%,-,-
1901,62,Jetsons: The Movie,"$20,305,841",1990,"$20,305,841",100%,-,-
1902,63,Stella,"$20,240,128",1990,"$20,240,128",100%,-,-
1903,64,Taking Care of Business,"$20,005,435",1990,"$20,005,435",100%,-,-
1904,65,Betsy's Wedding,"$19,740,070",1990,"$19,740,070",100%,-,-
1905,66,DuckTales the Movie: Treasure of the Lost Lamp,"$18,115,724",1990,"$18,115,724",100%,-,-
1906,67,Sibling Rivalry,"$17,854,933",1990,"$17,854,933",100%,-,-
1907,68,White Palace,"$17,487,531",1990,"$17,487,531",100%,-,-
1908,69,The Guardian,"$17,037,887",1990,"$17,037,887",100%,-,-
1909,70,Death Warrant,"$16,853,487",1990,"$16,853,487",100%,-,-
1910,71,Tremors,"$16,667,084",1990,"$16,667,084",100%,-,-
1911,72,Tales from the Darkside: The Movie,"$16,324,573",1990,"$16,324,573",100%,-,-
1912,73,Men at Work,"$16,247,964",1990,"$16,247,964",100%,-,-
1913,74,I Love You to Death,"$16,186,793",1990,"$16,186,793",100%,-,-
1914,75,Mo' Better Blues,"$16,153,593",1990,"$16,153,593",100%,-,-
1915,76,Avalon,"$15,740,796",1990,"$15,740,796",100%,-,-
1916,77,The Bonfire of the Vanities,"$15,691,192",1990,"$15,691,192",100%,-,-
1917,78,Revenge,"$15,645,616",1990,"$15,645,616",100%,-,-
1918,79,Reversal of Fortune,"$15,445,131",1990,"$15,445,131",100%,-,-
1919,80,Mr. Destiny,"$15,379,253",1990,"$15,379,253",100%,-,-
1920,81,Spaced Invaders,"$15,369,573",1990,"$15,369,573",100%,-,-
1921,82,Quick Change,"$15,260,154",1990,"$15,260,154",100%,-,-
1922,83,Fire Birds,"$14,760,451",1990,"$14,760,451",100%,-,-
1923,84,Wild at Heart,"$14,560,247",1990,"$14,560,247",100%,-,-
1924,85,Lord of the Flies,"$13,985,225",1990,"$13,985,225",100%,-,-
1925,86,The Grifters,"$13,446,769",1990,"$13,446,769",100%,-,-
1926,87,Crazy People,"$13,236,513",1990,"$13,236,513",100%,-,-
1927,88,Bad Influence,"$12,626,043",1990,"$12,626,043",100%,-,-
1928,89,Cinema Paradiso,"$11,990,401",1990,"$11,990,401",100%,-,-
1929,90,Graveyard Shift,"$11,582,891",1990,"$11,582,891",100%,-,-
1930,91,Henry & June,"$11,567,449",1990,"$11,567,449",100%,-,-
1931,92,Pump Up the Volume,"$11,541,758",1990,"$11,541,758",100%,-,-
1932,93,Opportunity Knocks,"$11,359,129",1990,"$11,359,129",100%,-,-
1933,94,Q&A,"$11,207,891",1990,"$11,207,891",100%,-,-
1934,95,Wild Orchid,"$11,060,485",1990,"$11,060,485",100%,-,-
1935,96,Nuns on the Run,"$10,959,015",1990,"$10,959,015",100%,-,-
1936,97,Narrow Margin,"$10,873,237",1990,"$10,873,237",100%,-,-
1937,98,The Witches,"$10,360,553",1990,"$10,360,553",100%,-,-
1938,99,The Adventures of Milo and Otis 1990 Re-release,"$10,351,534",1990,"$10,351,534",100%,-,-
1939,100,The Two Jakes,"$10,005,969",1990,"$10,005,969",100%,-,-
1940,101,Miami Blues,"$9,888,167",1990,"$9,888,167",100%,-,-
1941,102,Havana,"$9,243,140",1990,"$9,243,140",100%,-,-
1942,103,Nightbreed,"$8,862,354",1990,"$8,862,354",100%,-,-
1943,104,Ski Patrol,"$8,533,973",1990,"$8,533,973",100%,-,-
1944,105,Cry-Baby,"$8,266,343",1990,"$8,266,343",100%,-,-
1945,106,Blue Steel,"$8,217,997",1990,"$8,217,997",100%,-,-
1946,107,Funny About Love,"$8,141,292",1990,"$8,141,292",100%,-,-
1947,108,"The Cook, the Thief, His Wife & Her Lover","$7,724,701",1990,"$7,724,701",100%,-,-
1948,109,Mr. & Mrs. Bridge,"$7,698,010",1990,"$7,698,010",100%,-,-
1949,110,Alice,"$7,331,647",1990,"$7,331,647",100%,-,-
1950,111,Almost an Angel,"$6,939,946",1990,"$6,939,946",100%,-,-
1951,112,Delta Force 2: The Colombian Connection,"$6,698,361",1990,"$6,698,361",100%,-,-
1952,113,Flashback,"$6,488,114",1990,"$6,488,114",100%,-,-
1953,114,The Gods Must Be Crazy II,"$6,291,444",1990,"$6,291,444",100%,-,-
1954,115,Men Don't Leave,"$6,070,725",1990,"$6,070,725",100%,-,-
1955,116,Night of the Living Dead,"$5,835,247",1990,"$5,835,247",100%,-,-
1956,117,Cyrano de Bergerac,"$5,820,020",1990,"$5,820,020",100%,-,-
1957,118,Stanley & Iris,"$5,820,015",1990,"$5,820,015",100%,-,-
1958,119,Leatherface: Texas Chainsaw Massacre III,"$5,765,562",1990,"$5,765,562",100%,-,-
1959,120,Hardware,"$5,728,953",1990,"$5,728,953",100%,-,-
1960,121,Loose Cannons,"$5,585,154",1990,"$5,585,154",100%,-,-
1961,122,Miller's Crossing,"$5,080,409",1990,"$5,080,409",100%,-,-
1962,123,The Handmaid's Tale,"$4,960,385",1990,"$4,960,385",100%,-,-
1963,124,The Long Walk Home,"$4,873,620",1990,"$4,873,620",100%,-,-
1964,125,Longtime Companion,"$4,609,953",1990,"$4,609,953",100%,-,-
1965,126,Graffiti Bridge,"$4,562,778",1990,"$4,562,778",100%,-,-
1966,127,Dark Angel,"$4,348,368",1990,"$4,348,368",100%,-,-
1967,128,Lisa,"$4,347,648",1990,"$4,347,648",100%,-,-
1968,129,Lambada,"$4,263,112",1990,"$4,263,112",100%,-,-
1969,130,China Cry: A True Story,"$4,212,828",1990,"$4,212,828",100%,-,-
1970,131,Heart Condition,"$4,134,992",1990,"$4,134,992",100%,-,-
1971,132,Tie Me Up! Tie Me Down!,"$4,087,361",1990,"$4,087,361",100%,-,-
1972,133,Mountains of the Moon,"$4,011,793",1990,"$4,011,793",100%,-,-
1973,134,Short Time,"$4,010,647",1990,"$4,010,647",100%,-,-
1974,135,"Welcome Home, Roxy Carmichael","$3,989,297",1990,"$3,989,297",100%,-,-
1975,136,The Lemon Sisters,"$3,473,905",1990,"$3,473,905",100%,-,-
1976,137,A Shock to the System,"$3,417,056",1990,"$3,417,056",100%,-,-
1977,138,Metropolitan,"$2,938,208",1990,"$2,938,208",100%,-,-
1978,139,Desperate Hours,"$2,742,912",1990,"$2,742,912",100%,-,-
1979,140,Blind Fury,"$2,692,037",1990,"$2,692,037",100%,-,-
1980,141,"After Dark, My Sweet","$2,678,414",1990,"$2,678,414",100%,-,-
1981,142,King of New York,"$2,554,476",1990,"$2,554,476",100%,-,-
1982,143,Impulse,"$2,544,504",1990,"$2,544,504",100%,-,-
1983,144,Class of 1999,"$2,459,895",1990,"$2,459,895",100%,-,-
1984,145,Body Chemistry,"$2,415,312",1990,"$2,415,312",100%,-,-
1985,146,Downtown,"$2,346,150",1990,"$2,346,150",100%,-,-
1986,147,White Hunter Black Heart,"$2,319,124",1990,"$2,319,124",100%,-,-
1987,148,The Nasty Girl,"$2,281,569",1990,"$2,281,569",100%,-,-
1988,149,Texasville,"$2,268,181",1990,"$2,268,181",100%,-,-
1989,150,Vincent & Theo,"$2,231,274",1990,"$2,231,274",100%,-,-
1990,151,Def by Temptation,"$2,218,579",1990,"$2,218,579",100%,-,-
1991,152,Eating,"$2,100,538",1990,"$2,100,538",100%,-,-
1992,153,The Sheltering Sky,"$2,075,084",1990,"$2,075,084",100%,-,-
1993,154,The Krays,"$2,060,847",1990,"$2,060,847",100%,-,-
1994,155,Dreams,"$1,963,207",1990,"$1,963,207",100%,-,-
1995,156,State of Grace,"$1,911,542",1990,"$1,911,542",100%,-,-
1996,157,The Forbidden Dance,"$1,823,154",1990,"$1,823,154",100%,-,-
1997,158,Tune in Tomorrow...,"$1,794,001",1990,"$1,794,001",100%,-,-
1998,159,The Nutcracker Prince,"$1,781,694",1990,"$1,781,694",100%,-,-
1999,160,Too Beautiful for You,"$1,776,440",1990,"$1,776,440",100%,-,-
2000,161,Last Exit to Brooklyn,"$1,730,005",1990,"$1,730,005",100%,-,-
2001,162,The Rain Killer,"$1,696,066",1990,"$1,696,066",100%,-,-
2002,163,Brain Dead,"$1,627,955",1990,"$1,627,955",100%,-,-
2003,164,Jesus of Montreal,"$1,601,612",1990,"$1,601,612",100%,-,-
2004,165,May Fools,"$1,576,702",1990,"$1,576,702",100%,-,-
2005,166,The Haunting of Morella,"$1,547,867",1990,"$1,547,867",100%,-,-
2006,167,The Last of the Finest,"$1,531,489",1990,"$1,531,489",100%,-,-
2007,168,Streets,"$1,510,053",1990,"$1,510,053",100%,-,-
2008,169,A Cry in the Wild,"$1,494,969",1990,"$1,494,969",100%,-,-
2009,170,The Field,"$1,494,399",1990,"$1,494,399",100%,-,-
2010,171,Love at Large,"$1,436,308",1990,"$1,436,308",100%,-,-
2011,172,Monsieur Hire,"$1,417,030",1990,"$1,417,030",100%,-,-
2012,173,Courage Mountain,"$1,393,610",1990,"$1,393,610",100%,-,-
2013,174,Repossessed,"$1,382,462",1990,"$1,382,462",100%,-,-
2014,175,Daddy's Dyin'... Who's Got the Will?,"$1,373,728",1990,"$1,373,728",100%,-,-
2015,176,Everybody Wins,"$1,372,350",1990,"$1,372,350",100%,-,-
2016,177,The Fourth War,"$1,305,887",1990,"$1,305,887",100%,-,-
2017,178,The Hot Spot,"$1,293,976",1990,"$1,293,976",100%,-,-
2018,179,Bloodfist II,"$1,292,323",1990,"$1,292,323",100%,-,-
2019,180,This Is Not Frank's Planet/Snowie and the Seven Dorps/Poumse...,"$1,289,551",1990,"$1,289,551",100%,-,-
2020,181,Robot Jox,"$1,272,977",1990,"$1,272,977",100%,-,-
2021,182,Slumber Party Massacre III,"$1,242,995",1990,"$1,242,995",100%,-,-
2022,183,The Icicle Thief,"$1,231,622",1990,"$1,231,622",100%,-,-
2023,184,Vital Signs,"$1,224,605",1990,"$1,224,605",100%,-,-
2024,185,Without You I'm Nothing,"$1,218,730",1990,"$1,218,730",100%,-,-
2025,186,The Boyfriend School,"$1,171,762",1990,"$1,171,762",100%,-,-
2026,187,To Sleep with Anger,"$1,161,135",1990,"$1,161,135",100%,-,-
2027,188,Where the Heart Is,"$1,106,475",1990,"$1,106,475",100%,-,-
2028,189,Hidden Agenda,"$1,030,938",1990,"$1,030,938",100%,-,-
2029,190,Corporate Affairs,"$1,006,575",1990,"$1,006,575",100%,-,-
2030,191,Come See the Paradise,"$947,306",1990,"$947,306",100%,-,-
2031,192,Sweetie,"$938,065",1990,"$938,065",100%,-,-
2032,193,The Blood of Heroes,"$882,290",1990,"$882,290",100%,-,-
2033,194,Angel Town,"$855,810",1990,"$855,810",100%,-,-
2034,195,Waiting for the Light,"$808,690",1990,"$808,690",100%,-,-
2035,196,C'est la vie,"$805,472",1990,"$805,472",100%,-,-
2036,197,Listen Up: The Lives of Quincy Jones,"$776,699",1990,"$776,699",100%,-,-
2037,198,22nd Annual International Tournée of Animation,"$768,304",1990,"$768,304",100%,-,-
2038,199,Strapless,"$764,794",1990,"$764,794",100%,-,-
2039,200,Coupe de Ville,"$715,983",1990,"$715,983",100%,-,-
2040,1,Beauty and the Beast,"$248,802,521",1991,"$145,863,363",58.6%,"$102,939,158",41.4%
2041,2,Terminator 2: Judgment Day,"$204,843,345",1991,"$204,843,345",100%,-,-
2042,3,Robin Hood: Prince of Thieves,"$165,493,908",1991,"$165,493,908",100%,-,-
2043,4,The Silence of the Lambs,"$130,742,922",1991,"$130,742,922",100%,-,-
2044,5,City Slickers,"$124,033,791",1991,"$124,033,791",100%,-,-
2045,6,Hook,"$119,654,823",1991,"$119,654,823",100%,-,-
2046,7,The Addams Family,"$113,502,426",1991,"$113,502,426",100%,-,-
2047,8,Sleeping with the Enemy,"$101,599,005",1991,"$101,599,005",100%,-,-
2048,9,Father of the Bride,"$89,325,780",1991,"$89,325,780",100%,-,-
2049,10,The Naked Gun 2½: The Smell of Fear,"$86,930,411",1991,"$86,930,411",100%,-,-
2050,11,Fried Green Tomatoes,"$82,418,501",1991,"$82,418,501",100%,-,-
2051,12,Cape Fear,"$79,091,969",1991,"$79,091,969",100%,-,-
2052,13,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$78,656,813",1991,"$78,656,813",100%,-,-
2053,14,Backdraft,"$77,868,585",1991,"$77,868,585",100%,-,-
2054,15,Star Trek VI: The Undiscovered Country,"$74,888,996",1991,"$74,888,996",100%,-,-
2055,16,The Prince of Tides,"$74,787,599",1991,"$74,787,599",100%,-,-
2056,17,JFK,"$70,405,498",1991,"$70,405,498",100%,-,-
2057,18,Hot Shots!,"$69,467,617",1991,"$69,467,617",100%,-,-
2058,19,What About Bob?,"$63,707,829",1991,"$63,707,829",100%,-,-
2059,20,One Hundred and One Dalmatians 1991 Re-release,"$60,830,285",1991,"$60,830,285",100%,-,-
2060,21,The Last Boy Scout,"$59,509,925",1991,"$59,509,925",100%,-,-
2061,22,My Girl,"$59,489,799",1991,"$59,489,799",100%,-,-
2062,23,Boyz n the Hood,"$57,504,069",1991,"$57,504,069",100%,-,-
2063,24,Doc Hollywood,"$54,830,779",1991,"$54,830,779",100%,-,-
2064,25,Bugsy,"$49,114,016",1991,"$49,114,016",100%,-,-
2065,26,New Jack City,"$47,624,353",1991,"$47,624,353",100%,-,-
2066,27,The Rocketeer,"$46,704,056",1991,"$46,704,056",100%,-,-
2067,28,Thelma & Louise,"$45,454,078",1991,"$45,360,915",99.8%,"$93,163",0.2%
2068,29,Point Break,"$43,218,387",1991,"$43,218,387",100%,-,-
2069,30,Regarding Henry,"$43,001,500",1991,"$43,001,500",100%,-,-
2070,31,The Fisher King,"$41,895,491",1991,"$41,895,491",100%,-,-
2071,32,Out for Justice,"$39,673,161",1991,"$39,673,161",100%,-,-
2072,33,The Doctor,"$38,120,905",1991,"$38,120,905",100%,-,-
2073,34,Bill & Ted's Bogus Journey,"$38,037,513",1991,"$38,037,513",100%,-,-
2074,35,Dead Again,"$38,016,380",1991,"$38,016,380",100%,-,-
2075,36,Soapdish,"$36,489,888",1991,"$36,489,888",100%,-,-
2076,37,Freddy's Dead: The Final Nightmare,"$34,872,033",1991,"$34,872,033",100%,-,-
