,Rank,Release Group,Worldwide,Release Year,Domestic,%,Foreign,%.1
81,47,Gray Lady Down,"$5,438,927",1978,"$5,438,927",100%,-,-
82,48,Brass Target,"$5,011,158",1978,"$5,011,158",100%,-,-
83,49,Caravans,"$3,930,501",1978,"$3,930,501",100%,-,-
84,50,Days of Heaven,"$3,446,749",1978,"$3,446,749",100%,-,-
85,51,Our Winning Season,"$1,997,705",1978,"$1,997,705",100%,-,-
86,52,I Wanna Hold Your Hand,"$1,944,682",1978,"$1,944,682",100%,-,-
87,53,Skateboard,"$1,318,823",1978,"$1,318,823",100%,-,-
88,54,Uncle Joe Shannon,"$494,797",1978,"$494,797",100%,-,-
89,55,Nunzio,"$52,195",1978,"$52,195",100%,-,-
90,1,Kramer vs. Kramer,"$106,260,000",1979,"$106,260,000",100%,-,-
91,2,The Amityville Horror,"$86,432,000",1979,"$86,432,000",100%,-,-
92,3,Rocky II,"$85,182,160",1979,"$85,182,160",100%,-,-
93,4,Star Trek: The Motion Picture,"$82,258,456",1979,"$82,258,456",100%,-,-
94,5,Alien,"$78,944,891",1979,"$78,944,891",100%,-,-
95,6,Apocalypse Now,"$78,784,010",1979,"$78,784,010",100%,-,-
96,7,10,"$74,865,517",1979,"$74,865,517",100%,-,-
97,8,The Jerk,"$73,691,419",1979,"$73,691,419",100%,-,-
98,9,Moonraker,"$70,308,099",1979,"$70,308,099",100%,-,-
99,10,The Muppet Movie,"$65,200,000",1979,"$65,200,000",100%,-,-
100,11,The Electric Horseman,"$61,801,971",1979,"$61,801,971",100%,-,-
101,12,The China Syndrome,"$51,718,367",1979,"$51,718,367",100%,-,-
102,13,Meatballs,"$43,046,003",1979,"$43,046,003",100%,-,-
103,14,Escape from Alcatraz,"$43,000,000",1979,"$43,000,000",100%,-,-
104,15,The Main Event,"$42,800,000",1979,"$42,800,000",100%,-,-
105,16,Manhattan,"$39,946,780",1979,"$39,946,780",100%,-,-
106,17,All That Jazz,"$37,823,676",1979,"$37,823,676",100%,-,-
107,18,The Black Stallion,"$37,799,643",1979,"$37,799,643",100%,-,-
108,19,The Black Hole,"$35,841,901",1979,"$35,841,901",100%,-,-
109,20,Starting Over,"$35,649,012",1979,"$35,649,012",100%,-,-
110,21,And Justice for All,"$33,300,000",1979,"$33,300,000",100%,-,-
111,22,1941,"$31,755,742",1979,"$31,755,742",100%,-,-
112,23,The Champ,"$30,441,738",1979,"$30,441,738",100%,-,-
113,24,Being There,"$30,177,511",1979,"$30,177,511",100%,-,-
114,25,The Rose,"$29,174,648",1979,"$29,174,648",100%,-,-
115,26,Going in Style,"$26,869,286",1979,"$26,869,286",100%,-,-
116,27,North Dallas Forty,"$26,079,312",1979,"$26,079,312",100%,-,-
117,28,The Warriors,"$22,490,039",1979,"$22,490,039",100%,-,-
118,29,Norma Rae,"$22,228,000",1979,"$22,228,000",100%,-,-
119,30,Buck Rogers in the 25th Century,"$21,671,241",1979,"$21,671,241",100%,-,-
120,31,National Lampoon's Animal House 1979 Re-release,"$21,508,877",1979,"$21,508,877",100%,-,-
121,32,The Apple Dumpling Gang Rides Again,"$20,931,111",1979,"$20,931,111",100%,-,-
122,33,La Cage aux Folles,"$20,424,259",1979,"$20,424,259",100%,-,-
123,34,Dracula,"$20,158,970",1979,"$20,158,970",100%,-,-
124,35,When a Stranger Calls,"$20,149,106",1979,"$20,149,106",100%,-,-
125,36,"Same Time, Next Year","$19,703,082",1979,"$19,703,082",100%,-,-
126,37,The Seduction of Joe Tynan,"$19,595,168",1979,"$19,595,168",100%,-,-
127,38,Life of Brian,"$19,398,164",1979,"$19,398,164",100%,-,-
128,39,One Hundred and One Dalmatians 1979 Re-release,"$19,000,000",1979,"$19,000,000",100%,-,-
129,40,Prophecy,"$18,389,402",1979,"$18,389,402",100%,-,-
130,41,Breaking Away,"$16,424,918",1979,"$16,424,918",100%,-,-
131,42,Hair,"$15,284,643",1979,"$15,284,643",100%,-,-
132,43,More American Graffiti,"$15,014,674",1979,"$15,014,674",100%,-,-
133,44,Roller Boogie,"$13,253,715",1979,"$13,253,715",100%,-,-
134,45,The Great Train Robbery,"$13,027,857",1979,"$13,027,857",100%,-,-
135,46,The Concorde... Airport '79,"$13,015,688",1979,"$13,015,688",100%,-,-
136,47,Phantasm,"$11,988,469",1979,"$11,988,469",100%,-,-
137,48,The Promise,"$11,606,005",1979,"$11,606,005",100%,-,-
138,49,The Legacy,"$11,364,985",1979,"$11,364,985",100%,-,-
139,50,Fiddler on the Roof 1979 Re-release,"$10,404,330",1979,"$10,404,330",100%,-,-
140,51,The Onion Field,"$9,890,597",1979,"$9,890,597",100%,-,-
141,52,The Frisco Kid,"$9,346,177",1979,"$9,346,177",100%,-,-
142,53,Meteor,"$8,400,000",1979,"$8,400,000",100%,-,-
143,54,The Fish That Saved Pittsburgh,"$8,281,246",1979,"$8,281,246",100%,-,-
144,55,Bloodline,"$8,218,695",1979,"$8,218,695",100%,-,-
145,56,The Prisoner of Zenda,"$7,650,600",1979,"$7,650,600",100%,-,-
146,57,Agatha,"$7,500,000",1979,"$7,500,000",100%,-,-
147,58,Americathon,"$6,171,763",1979,"$6,171,763",100%,-,-
148,59,Running,"$6,012,556",1979,"$6,012,556",100%,-,-
149,60,Cuba,"$5,610,280",1979,"$5,610,280",100%,-,-
