,year_film,year_ceremony,ceremony,category,name,film,winner,Number of wins
1569,1950,1951,23,ACTOR,William Holden,Sunset Blvd.,False,3
1570,1950,1951,23,ACTOR,James Stewart,Harvey,False,1
1585,1950,1951,23,CINEMATOGRAPHY (Black-and-White),Robert Krasker,The Third Man,True,1
1632,1951,1952,24,ACTOR,Humphrey Bogart,The African Queen,True,1
1633,1951,1952,24,ACTOR,Marlon Brando,A Streetcar Named Desire,False,4
1658,1951,1952,24,CINEMATOGRAPHY (Black-and-White),Robert Burks,Strangers on a Train,False,0
1714,1952,1953,25,ACTOR,Gary Cooper,High Noon,True,4
1720,1952,1953,25,ACTOR IN A SUPPORTING ROLE,Victor McLaglen,The Quiet Man,False,2
1727,1952,1953,25,ACTRESS IN A SUPPORTING ROLE,Jean Hagen,Singin' in the Rain,False,0
1730,1952,1953,25,ART DIRECTION (Black-and-White),Art Direction:  Matsuyama;  Set Decoration:  H. Motsumoto,Rashomon,False,0
1764,1952,1953,25,MUSIC (Scoring of a Musical Picture),Lennie Hayton,Singin' in the Rain,False,0
1796,1953,1954,26,ACTOR,Montgomery Clift,From Here to Eternity,False,7
1797,1953,1954,26,ACTOR,William Holden,Stalag 17,True,1
1798,1953,1954,26,ACTOR IN A SUPPORTING ROLE,Eddie Albert,Roman Holiday,False,3
1809,1953,1954,26,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, Maurice Ransford;  Set Decoration:  Stuart Reiss",Titanic,False,1
1869,1954,1955,27,ACTOR,Humphrey Bogart,The Caine Mutiny,False,0
1870,1954,1955,27,ACTOR,Marlon Brando,On the Waterfront,True,8
1875,1954,1955,27,ACTOR IN A SUPPORTING ROLE,Tom Tully,The Caine Mutiny,False,0
1878,1954,1955,27,ACTRESS,Audrey Hepburn,Sabrina,False,1
1893,1954,1955,27,CINEMATOGRAPHY (Color),Robert Burks,Rear Window,False,0
1906,1954,1955,27,DIRECTING,Alfred Hitchcock,Rear Window,False,0
1912,1954,1955,27,FILM EDITING,"William A. Lyon, Henry Batista",The Caine Mutiny,False,0
1913,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,The Caine Mutiny,False,0
1923,1954,1955,27,BEST MOTION PICTURE,"Stanley Kramer, Producer",The Caine Mutiny,False,0
1942,1954,1955,27,WRITING (Screenplay),Stanley Roberts,The Caine Mutiny,False,0
1943,1954,1955,27,WRITING (Screenplay),John Michael Hayes,Rear Window,False,0
2036,1956,1957,29,ART DIRECTION (Black-and-White),Takashi Matsuyama,The Magnificent Seven,False,0
2042,1956,1957,29,ART DIRECTION (Color),"Art Direction:  Hal Pereira, Walter H. Tyler, Albert Nozaki;  Set Decoration:  Samuel M. Comer, Ray Moyer",The Ten Commandments,False,1
2049,1956,1957,29,COSTUME DESIGN (Black-and-White),Kohei Ezaki,The Magnificent Seven,False,0
2068,1956,1957,29,FOREIGN LANGUAGE FILM,"Italy; Dino De Laurentiis and Carlo Ponti, Producers",La Strada,True,1
2091,1956,1957,29,SPECIAL EFFECTS,"A. Arnold Gillespie, Irving Ries, Wesley C. Miller",Forbidden Planet,False,0
2095,1956,1957,29,WRITING (Motion Picture Story),Cesare Zavattini,Umberto D.,False,0
2104,1957,1958,30,ACTOR,Alec Guinness,The Bridge on the River Kwai,True,7
2105,1957,1958,30,ACTOR,Charles Laughton,Witness for the Prosecution,False,0
2116,1957,1958,30,ACTRESS IN A SUPPORTING ROLE,Elsa Lanchester,Witness for the Prosecution,False,0
2131,1957,1958,30,DIRECTING,Sidney Lumet,12 Angry Men,False,0
2132,1957,1958,30,DIRECTING,Billy Wilder,Witness for the Prosecution,False,0
2138,1957,1958,30,FILM EDITING,Daniel Mandell,Witness for the Prosecution,False,0
2154,1957,1958,30,BEST MOTION PICTURE,"Henry Fonda and Reginald Rose, Producers",12 Angry Men,False,0
2155,1957,1958,30,BEST MOTION PICTURE,"Arthur Hornblow, Jr., Producer",Witness for the Prosecution,False,0
2170,1957,1958,30,WRITING (Screenplay--based on material from another medium),Reginald Rose,12 Angry Men,False,0
2195,1958,1959,31,ART DIRECTION,"Art Direction:  Hal Pereira, Henry Bumstead;  Set Decoration:  Sam Comer, Frank McKelvy",Vertigo,False,0
2242,1958,1959,31,SOUND,"Paramount Studio Sound Department, George Dutton, Sound Director",Vertigo,False,0
2253,1959,1960,32,ACTOR,Charlton Heston,Ben-Hur,True,11
2254,1959,1960,32,ACTOR,Jack Lemmon,Some Like It Hot,False,1
2256,1959,1960,32,ACTOR,James Stewart,Anatomy of a Murder,False,0
2257,1959,1960,32,ACTOR IN A SUPPORTING ROLE,Arthur O'Connell,Anatomy of a Murder,False,0
2258,1959,1960,32,ACTOR IN A SUPPORTING ROLE,George C. Scott,Anatomy of a Murder,False,0
2272,1959,1960,32,ART DIRECTION (Color),"Art Direction:  William A. Horning, Robert Boyle, Merrill Pye;  Set Decoration:  Henry Grace, Frank McKelvy",North by Northwest,False,0
2273,1959,1960,32,CINEMATOGRAPHY (Black-and-White),Sam Leavitt,Anatomy of a Murder,False,0
2292,1959,1960,32,FILM EDITING,Louis R. Loeffler,Anatomy of a Murder,False,0
2293,1959,1960,32,FILM EDITING,George Tomasini,North by Northwest,False,0
2312,1959,1960,32,BEST MOTION PICTURE,"Otto Preminger, Producer",Anatomy of a Murder,False,0
2327,1959,1960,32,WRITING (Screenplay--based on material from another medium),Wendell Mayes,Anatomy of a Murder,False,0
2329,1959,1960,32,WRITING (Story and Screenplay--written directly for the screen),"Francois Truffaut, Marcel Moussy",The 400 Blows,False,0
2330,1959,1960,32,WRITING (Story and Screenplay--written directly for the screen),Ernest Lehman,North by Northwest,False,0
2332,1959,1960,32,WRITING (Story and Screenplay--written directly for the screen),Ingmar Bergman,Wild Strawberries,False,0
2335,1960,1961,33,ACTOR,Jack Lemmon,The Apartment,False,5
2337,1960,1961,33,ACTOR,Spencer Tracy,Inherit the Wind,False,0
2340,1960,1961,33,ACTOR IN A SUPPORTING ROLE,Peter Ustinov,Spartacus,True,4
2348,1960,1961,33,ACTRESS IN A SUPPORTING ROLE,Janet Leigh,Psycho,False,0
2350,1960,1961,33,ART DIRECTION (Black-and-White),"Art Direction:  Joseph Hurley, Robert Clatworthy;  Set Decoration:  George Milo",Psycho,False,0
2356,1960,1961,33,CINEMATOGRAPHY (Black-and-White),Ernest Laszlo,Inherit the Wind,False,0
2357,1960,1961,33,CINEMATOGRAPHY (Black-and-White),John L. Russell,Psycho,False,0
2366,1960,1961,33,DIRECTING,Alfred Hitchcock,Psycho,False,0
2375,1960,1961,33,FILM EDITING,Frederic Knudtson,Inherit the Wind,False,0
2381,1960,1961,33,MUSIC (Music Score of a Dramatic or Comedy Picture),Elmer Bernstein,The Magnificent Seven,False,0
2404,1960,1961,33,WRITING (Screenplay--based on material from another medium),"Nedrick Young, Harold Jacob Smith",Inherit the Wind,False,0
2410,1961,1962,34,ACTOR,Paul Newman,The Hustler,False,2
2411,1961,1962,34,ACTOR,Maximilian Schell,Judgment at Nuremberg,True,2
2413,1961,1962,34,ACTOR IN A SUPPORTING ROLE,George Chakiris,West Side Story,True,10
2415,1961,1962,34,ACTRESS,Audrey Hepburn,Breakfast at Tiffany's,False,2
2424,1961,1962,34,ART DIRECTION (Black-and-White),Piero Gherardi,La Dolce Vita,False,1
2437,1961,1962,34,COSTUME DESIGN (Black-and-White),Yoshiro Muraki,Yojimbo,False,0
2489,1962,1963,35,ACTOR,Peter O'Toole,Lawrence of Arabia,False,7
2490,1962,1963,35,ACTOR,Gregory Peck,To Kill a Mockingbird,True,3
2497,1962,1963,35,ACTRESS IN A SUPPORTING ROLE,Angela Lansbury,The Manchurian Candidate,False,0
2511,1962,1963,35,COSTUME DESIGN (Black-and-White),Edith Head,The Man Who Shot Liberty Valance,False,0
2522,1962,1963,35,FILM EDITING,Ferris Webster,The Manchurian Candidate,False,0
2602,1963,1964,36,FILM EDITING,Ferris Webster,The Great Escape,False,0
2613,1963,1964,36,MUSIC (Song),Music by Henry Mancini; Lyrics by Johnny Mercer,Charade,False,0
2629,1963,1964,36,SPECIAL EFFECTS,Ub Iwerks,The Birds,False,0
2635,1964,1965,37,ACTOR,Rex Harrison,My Fair Lady,True,8
2637,1964,1965,37,ACTOR,Peter Sellers,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,0
2641,1964,1965,37,ACTRESS,Julie Andrews,Mary Poppins,True,5
2665,1964,1965,37,DIRECTING,Stanley Kubrick,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,0
2693,1964,1965,37,BEST PICTURE,"Stanley Kubrick, Producer",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,0
2702,1964,1965,37,SOUND EFFECTS,Norman Wanstall,Goldfinger,True,1
2705,1964,1965,37,WRITING (Screenplay--based on material from another medium),"Stanley Kubrick, Peter George, Terry Southern",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,False,0
2717,1965,1966,38,ACTOR IN A SUPPORTING ROLE,Tom Courtenay,Doctor Zhivago,False,5
2719,1965,1966,38,ACTRESS,Julie Andrews,The Sound of Music,False,5
2789,1966,1967,39,ACTOR,Richard Burton,Who's Afraid of Virginia Woolf?,False,5
2792,1966,1967,39,ACTOR,Paul Scofield,A Man for All Seasons,True,6
2840,1966,1967,39,FOREIGN LANGUAGE FILM,Italy,The Battle of Algiers,False,0
2876,1967,1968,40,ACTOR,Warren Beatty,Bonnie and Clyde,False,2
2877,1967,1968,40,ACTOR,Dustin Hoffman,The Graduate,False,1
2878,1967,1968,40,ACTOR,Paul Newman,Cool Hand Luke,False,1
2879,1967,1968,40,ACTOR,Rod Steiger,In the Heat of the Night,True,5
2889,1967,1968,40,CINEMATOGRAPHY,Conrad Hall,In Cold Blood,False,0
2892,1967,1968,40,DIRECTING,Richard Brooks,In Cold Blood,False,0
2910,1967,1968,40,MUSIC (Original Music Score),Quincy Jones,In Cold Blood,False,0
2912,1967,1968,40,MUSIC (Song),Music and Lyrics by Terry Gilkyson,The Jungle Book,False,0
2914,1967,1968,40,MUSIC (Song),Music by Burt Bacharach; Lyrics by Hal David,Casino Royale,False,0
2922,1967,1968,40,WRITING (Screenplay--based on material from another medium),Richard Brooks,In Cold Blood,False,0
2930,1968,1969,41,ACTOR,Peter O'Toole,The Lion in Winter,False,3
2935,1968,1969,41,ACTOR IN A SUPPORTING ROLE,Gene Wilder,The Producers,False,1
2940,1968,1969,41,ACTRESS IN A SUPPORTING ROLE,Ruth Gordon,Rosemary's Baby,True,1
2945,1968,1969,41,ART DIRECTION,"Art Direction:  Tony Masters, Harry Lange, Ernie Archer",2001: A Space Odyssey,False,1
2950,1968,1969,41,COSTUME DESIGN,Morton Haack,Planet of the Apes,False,0
2952,1968,1969,41,DIRECTING,Gillo Pontecorvo,The Battle of Algiers,False,0
2971,1968,1969,41,MUSIC (Original Score--for a motion picture [not a musical]),Jerry Goldsmith,Planet of the Apes,False,0
2994,1968,1969,41,WRITING (Story and Screenplay--written directly for the screen),"Franco Solinas, Gillo Pontecorvo",The Battle of Algiers,False,0
2998,1969,1970,42,ACTOR,Dustin Hoffman,Midnight Cowboy,False,3
3000,1969,1970,42,ACTOR,John Wayne,True Grit,True,1
3015,1969,1970,42,CINEMATOGRAPHY,Conrad Hall,Butch Cassidy and the Sundance Kid,True,4
3020,1969,1970,42,DIRECTING,Costa-Gavras,Z,False,2
3038,1969,1970,42,MUSIC (Original Score--for a motion picture [not a musical]),Jerry Fielding,The Wild Bunch,False,0
3055,1969,1970,42,WRITING (Story and Screenplay--based on material not previously published or produced),"Story by Walon Green, Roy N. Sickner;  Screenplay by Walon Green, Sam Peckinpah",The Wild Bunch,False,0
3060,1970,1971,43,ACTOR,George C. Scott,Patton,True,7
3062,1970,1971,43,ACTOR IN A SUPPORTING ROLE,Chief Dan George,Little Big Man,False,0
3117,1971,1972,44,ACTOR,Gene Hackman,The French Connection,True,5
3138,1971,1972,44,DIRECTING,Stanley Kubrick,A Clockwork Orange,False,0
3151,1971,1972,44,FILM EDITING,Bill Butler,A Clockwork Orange,False,0
3167,1971,1972,44,BEST PICTURE,"Stanley Kubrick, Producer",A Clockwork Orange,False,0
3177,1971,1972,44,WRITING (Screenplay--based on material from another medium),Stanley Kubrick,A Clockwork Orange,False,0
3181,1972,1973,45,ACTOR,Marlon Brando,The Godfather,True,3
3182,1972,1973,45,ACTOR,Michael Caine,Sleuth,False,0
3183,1972,1973,45,ACTOR,Laurence Olivier,Sleuth,False,0
3187,1972,1973,45,ACTOR IN A SUPPORTING ROLE,Joel Grey,Cabaret,True,8
3202,1972,1973,45,DIRECTING,John Boorman,Deliverance,False,0
3204,1972,1973,45,DIRECTING,Joseph L. Mankiewicz,Sleuth,False,0
3215,1972,1973,45,FILM EDITING,Tom Priestley,Deliverance,False,0
3225,1972,1973,45,MUSIC (Original Dramatic Score),John Addison,Sleuth,False,0
3232,1972,1973,45,BEST PICTURE,"John Boorman, Producer",Deliverance,False,0
3235,1972,1973,45,SHORT SUBJECT (Animated),"Richard Williams, Producer",A Christmas Carol,True,1
3252,1973,1974,46,ACTOR,Robert Redford,The Sting,False,7
3255,1973,1974,46,ACTOR IN A SUPPORTING ROLE,Jason Miller,The Exorcist,False,2
3261,1973,1974,46,ACTRESS IN A SUPPORTING ROLE,Candy Clark,American Graffiti,False,0
3262,1973,1974,46,ACTRESS IN A SUPPORTING ROLE,Madeline Kahn,Paper Moon,False,1
3270,1973,1974,46,DIRECTING,George Lucas,American Graffiti,False,0
3282,1973,1974,46,FILM EDITING,"Verna Fields, Marcia Lucas",American Graffiti,False,0
3292,1973,1974,46,MUSIC (Original Dramatic Score),Jerry Goldsmith,Papillon,False,0
3298,1973,1974,46,BEST PICTURE,"Francis Ford Coppola, Producer;  Gary Kurtz, Co-Producer",American Graffiti,False,0
3308,1973,1974,46,WRITING (Story and Screenplay--based on factual material or material not previously published or produced),"George Lucas, Gloria Katz, Willard Huyck",American Graffiti,False,0
3312,1974,1975,47,ACTOR,Jack Nicholson,Chinatown,False,1
3321,1974,1975,47,ACTRESS IN A SUPPORTING ROLE,Madeline Kahn,Blazing Saddles,False,0
3340,1974,1975,47,FILM EDITING,"John C. Howard, Danford Greene",Blazing Saddles,False,0
3342,1974,1975,47,FOREIGN LANGUAGE FILM,Italy,Amarcord,True,1
3351,1974,1975,47,MUSIC (Song),Music by John Morris; Lyrics by Mel Brooks,Blazing Saddles,False,0
3354,1974,1975,47,BEST PICTURE,"Francis Ford Coppola, Producer;  Fred Roos, Co-Producer",The Conversation,False,0
3366,1974,1975,47,SOUND,"Walter Murch, Arthur Rochester",The Conversation,False,0
3367,1974,1975,47,SOUND,"Richard Portman, Gene Cantamessa",Young Frankenstein,False,0
3368,1974,1975,47,WRITING (Original Screenplay),Francis Ford Coppola,The Conversation,False,0
3372,1974,1975,47,WRITING (Screenplay Adapted from Other Material),"Gene Wilder, Mel Brooks",Young Frankenstein,False,0
3375,1975,1976,48,ACTOR,Al Pacino,Dog Day Afternoon,False,1
3387,1975,1976,48,ART DIRECTION,"Art Direction:  Ken Adam, Roy Walker;  Set Decoration:  Vernon Dixon",Barry Lyndon,True,4
3389,1975,1976,48,ART DIRECTION,"Art Direction:  Alexander Trauner, Tony Inglis;  Set Decoration:  Peter James",The Man Who Would Be King,False,0
3395,1975,1976,48,COSTUME DESIGN,Edith Head,The Man Who Would Be King,False,0
3396,1975,1976,48,DIRECTING,Federico Fellini,Amarcord,False,0
3407,1975,1976,48,FILM EDITING,Verna Fields,Jaws,True,3
3408,1975,1976,48,FILM EDITING,Russell Lloyd,The Man Who Would Be King,False,0
3410,1975,1976,48,FOREIGN LANGUAGE FILM,Union of Soviet Socialist Republics,Dersu Uzala,True,1
3436,1975,1976,48,WRITING (Original Screenplay),"Federico Fellini, Tonino Guerra",Amarcord,False,0
