Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
A Farewell to Arms,"Drama, Romance",5.8,2   hours   32   minutes,NIL,"English, Latin",PG,Charles Vidor,Rock Hudson,Jennifer Jones,Vittorio De Sica,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
"Heaven Knows, Mr. Allison","Adventure, Drama",7.3,1   hour   47   minutes,NIL,"English, Japanese",PG,John Huston,Robert Mitchum,Deborah Kerr,NIL,NIL,NIL
Wild Is the Wind,Drama,6.6,1   hour   54   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, English, Italian",Not Rated,George Cukor,Anthony Quinn,Anna Magnani,Anthony Franciosa,NIL,NIL
Raintree County,"Drama, Romance",6.3,3   hours   2   minutes,NIL,English,Approved,Edward Dmytryk,Montgomery Clift,Elizabeth Taylor,Eva Marie Saint,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
The Three Faces of Eve,"Drama, Mystery",7.2,1   hour   31   minutes,NIL,English,PG,Nunnally Johnson,Joanne Woodward,David Wayne,Lee J. Cobb,NIL,NIL
The Bachelor Party,Drama,6.7,1   hour   32   minutes,NIL,English,Approved,Delbert Mann,Don Murray,E.G. Marshall,Nancy Marchand,NIL,NIL
Witness for the Prosecution,"Crime, Drama",8.4,1   hour   56   minutes,7693,"English, German",G,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,NIL,United States
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
Funny Face,"Comedy, Musical",7,1   hour   43   minutes,NIL,"English, French",PG,Stanley Donen,Audrey Hepburn,Fred Astaire,Kay Thompson,NIL,NIL
Les Girls,"Comedy, Musical",6.6,1   hour   54   minutes,NIL,English,Not Rated,George Cukor,Gene Kelly,Mitzi Gaynor,Kay Kendall,NIL,NIL
Pal Joey,"Drama, Musical",6.6,1   hour   51   minutes,NIL,English,Approved,George Sidney,Rita Hayworth,Frank Sinatra,Kim Novak,NIL,NIL
Raintree County,"Drama, Romance",6.3,3   hours   2   minutes,NIL,English,Approved,Edward Dmytryk,Montgomery Clift,Elizabeth Taylor,Eva Marie Saint,NIL,NIL
An Affair to Remember,"Drama, Romance",7.4,1   hour   55   minutes,3851689,"English, French, Italian",PG,Leo McCarey,Cary Grant,Deborah Kerr,Richard Denning,NIL,United States
Funny Face,"Comedy, Musical",7,1   hour   43   minutes,NIL,"English, French",PG,Stanley Donen,Audrey Hepburn,Fred Astaire,Kay Thompson,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
An Affair to Remember,"Drama, Romance",7.4,1   hour   55   minutes,3851689,"English, French, Italian",PG,Leo McCarey,Cary Grant,Deborah Kerr,Richard Denning,NIL,United States
Funny Face,"Comedy, Musical",7,1   hour   43   minutes,NIL,"English, French",PG,Stanley Donen,Audrey Hepburn,Fred Astaire,Kay Thompson,NIL,NIL
Pal Joey,"Drama, Musical",6.6,1   hour   51   minutes,NIL,English,Approved,George Sidney,Rita Hayworth,Frank Sinatra,Kim Novak,NIL,NIL
Raintree County,"Drama, Romance",6.3,3   hours   2   minutes,NIL,English,Approved,Edward Dmytryk,Montgomery Clift,Elizabeth Taylor,Eva Marie Saint,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
12 Angry Men,"Crime, Drama",9,1   hour   36   minutes,955,English,PG,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,NIL,United States
Witness for the Prosecution,"Crime, Drama",8.4,1   hour   56   minutes,7693,"English, German",G,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,NIL,United States
Albert Schweitzer,"Documentary, Biography",6.4,1   hour   25   minutes,NIL,"English, French, German",Approved,Jerome Hill,Burgess Meredith,Fredric March,Albert Schweitzer,NIL,NIL
On the Bowery,NIL,NIL,NIL,NIL,"English, French, German",Add content advisory,NIL,NIL,NIL,NIL,NIL,NIL
Torero!,NIL,NIL,NIL,NIL,None,Add content advisory,José Calvache 'Walken',Mari Tere Aceña,María Luisa Aceña,José Martínez 'El Chispa',NIL,NIL
Gunfight at the O.K. Corral,"Biography, Drama",7.2,2   hours   2   minutes,NIL,English,Passed,John Sturges,Burt Lancaster,Kirk Douglas,Rhonda Fleming,NIL,NIL
Pal Joey,"Drama, Musical",6.6,1   hour   51   minutes,NIL,English,Approved,George Sidney,Rita Hayworth,Frank Sinatra,Kim Novak,NIL,NIL
Witness for the Prosecution,"Crime, Drama",8.4,1   hour   56   minutes,7693,"English, German",G,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,NIL,United States
The Devil Came at Night,"Crime, Drama",7.2,1   hour   45   minutes,NIL,German,Parents guide,Robert Siodmak,Claus Holm,Mario Adorf,Hannes Messemer,NIL,NIL
Gates of Paris,"Crime, Drama",7.2,1   hour   35   minutes,NIL,French,Add content advisory,René Clair,Pierre Brasseur,Georges Brassens,Henri Vidal,NIL,NIL
Mother India,"Action, Comedy",7.8,2   hours   52   minutes,NIL,Hindi,Not Rated,Mehboob Khan,Nargis,Sunil Dutt,Rajendra Kumar Tuli,NIL,NIL
The Nights of Cabiria,Drama,8.1,1   hour   50   minutes,769804,"Italian, Latin",PG,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,NIL,"Italy, France"
Nine Lives,"Action, Adventure",7.2,1   hour   36   minutes,NIL,"German, Norwegian",Parents guide,Arne Skouen,Jack Fjeldstad,Henny Moan,Alf Malland,NIL,NIL
An Affair to Remember,"Drama, Romance",7.4,1   hour   55   minutes,3851689,"English, French, Italian",PG,Leo McCarey,Cary Grant,Deborah Kerr,Richard Denning,NIL,United States
Boy on a Dolphin,"Adventure, Drama",6.2,1   hour   51   minutes,3867,"English, Greek",PG,Jean Negulesco,Alan Ladd,Clifton Webb,Sophia Loren,NIL,United States
Perri,"Adventure, Family",6.8,1   hour   15   minutes,NIL,English,G,Paul Kenworthy,Winston Hibler,NIL,NIL,NIL,NIL
Raintree County,"Drama, Romance",6.3,3   hours   2   minutes,NIL,English,Approved,Edward Dmytryk,Montgomery Clift,Elizabeth Taylor,Eva Marie Saint,NIL,NIL
An Affair to Remember,"Drama, Romance",7.4,1   hour   55   minutes,3851689,"English, French, Italian",PG,Leo McCarey,Cary Grant,Deborah Kerr,Richard Denning,NIL,United States
The Joker Is Wild,"Biography, Drama",7,2   hours   6   minutes,NIL,English,Approved,Charles Vidor,Frank Sinatra,Mitzi Gaynor,Jeanne Crain,NIL,NIL
April Love,"Comedy, Drama",6.2,1   hour   37   minutes,NIL,English,Unrated,Henry Levin,Pat Boone,Shirley Jones,Dolores Michaels,NIL,NIL
Tammy and the Bachelor,"Comedy, Romance",6.9,1   hour   29   minutes,NIL,English,Approved,Joseph Pevney,Debbie Reynolds,Walter Brennan,Leslie Nielsen,NIL,NIL
Wild Is the Wind,Drama,6.6,1   hour   54   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, English, Italian",Not Rated,George Cukor,Anthony Quinn,Anna Magnani,Anthony Franciosa,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
12 Angry Men,"Crime, Drama",9,1   hour   36   minutes,955,English,PG,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,NIL,United States
Witness for the Prosecution,"Crime, Drama",8.4,1   hour   56   minutes,7693,"English, German",G,Billy Wilder,Tyrone Power,Marlene Dietrich,Charles Laughton,NIL,United States
Birds Anonymous,"Animation, Family",7.6,7   minutes,NIL,English,Approved,Friz Freleng,Mel Blanc,NIL,NIL,NIL,NIL
One Droopy Knight,"Animation, Short",6.7,7   minutes,NIL,English,Approved,Michael Lah,Bill Thompson,NIL,NIL,NIL,NIL
Tabasco Road,"Animation, Family",6.5,6   minutes,NIL,"English, Spanish",Approved,Robert McKimson,Mel Blanc,Daws Butler,Tom Holland,NIL,NIL
Trees and Jamaica Daddy,"Animation, Short",5.3,7   minutes,NIL,English,Approved,Fred Crippen,Mel Blanc,Daws Butler,Tom Holland,NIL,NIL
The Truth about Mother Goose,"Documentary, Animation",7.2,15   minutes,NIL,English,Approved,Bill Justice,Page Cavanaugh Trio,Kevin Corcoran,John Dehner,NIL,NIL
A Chairy Tale,"Animation, Short",7.3,12   minutes,NIL,None,Not Rated,Claude Jutra,Claude Jutra,Norman McLaren,NIL,NIL,NIL
City of Gold,"Documentary, Short",7.2,22   minutes,NIL,English,Add content advisory,Wolf Koenig,Pierre Berton,NIL,NIL,NIL,NIL
Foothold on Antarctica,NIL,6.4,20   minutes,NIL,English,Add content advisory,Derek Williams,Derek Williams,NIL,NIL,NIL,NIL
Portugal,"Documentary, Music",7.3,1   hour,NIL,English,Add content advisory,Jane McDonald,Derek Williams,NIL,NIL,NIL,NIL
The Wetback Hound,"Short, Family",6.7,18   minutes,NIL,"Spanish, English",Add content advisory,Larry Lansburgh,Rex Allen,Marvin Glenn,Warner Glenn,NIL,NIL
The Enemy Below,"Action, Adventure",7.4,1   hour   38   minutes,NIL,"English, German",Approved,Dick Powell,Robert Mitchum,Curd Jürgens,David Hedison,NIL,NIL
The Spirit of St. Louis,"Adventure, Biography",7.1,2   hours   15   minutes,NIL,English,Approved,Billy Wilder,James Stewart,Murray Hamilton,Patricia Smith,NIL,NIL
"Heaven Knows, Mr. Allison","Adventure, Drama",7.3,1   hour   47   minutes,NIL,"English, Japanese",PG,John Huston,Robert Mitchum,Deborah Kerr,NIL,NIL,NIL
Peyton Place,"Drama, Romance",7.2,2   hours   37   minutes,NIL,English,PG,Mark Robson,Lana Turner,Lee Philips,Lloyd Nolan,NIL,NIL
12 Angry Men,"Crime, Drama",9,1   hour   36   minutes,955,English,PG,Sidney Lumet,Henry Fonda,Lee J. Cobb,Martin Balsam,NIL,United States
Designing Woman,"Comedy, Romance",6.7,1   hour   58   minutes,NIL,"English, Italian",Approved,Vincente Minnelli,Gregory Peck,Lauren Bacall,Dolores Gray,NIL,NIL
Funny Face,"Comedy, Musical",7,1   hour   43   minutes,NIL,"English, French",PG,Stanley Donen,Audrey Hepburn,Fred Astaire,Kay Thompson,NIL,NIL
Man of a Thousand Faces,"Biography, Drama",7.1,2   hours   2   minutes,NIL,"English, American Sign Language, Chinese",PG,Joseph Pevney,James Cagney,Dorothy Malone,Jane Greer,NIL,NIL
The Tin Star,Western,7.3,1   hour   33   minutes,NIL,English,PG,Anthony Mann,Henry Fonda,Anthony Perkins,Betsy Palmer,NIL,NIL
Vitelloni,Comedy,6.2,1   hour   30   minutes,NIL,Italian,Add content advisory,Giorgio Bianchi,Vittorio De Sica,Walter Chiari,María Luz Galicia,NIL,NIL
The Defiant Ones,"Crime, Drama",7.6,1   hour   36   minutes,NIL,English,Not Rated,Stanley Kramer,Tony Curtis,Sidney Poitier,Theodore Bikel,NIL,NIL
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
Separate Tables,"Drama, Romance",7.4,1   hour   40   minutes,NIL,English,PG,Delbert Mann,Rita Hayworth,Deborah Kerr,David Niven,NIL,NIL
The Old Man and the Sea,"Adventure, Drama",6.9,1   hour   26   minutes,67740,English,Not Rated,John Sturges,Spencer Tracy,Felipe Pazos,Harry Bellaver,NIL,United States
The Brothers Karamazov,"Drama, Romance",6.7,2   hours   25   minutes,NIL,"English, Polish, Russian",Approved,Richard Brooks,Yul Brynner,Maria Schell,Claire Bloom,NIL,NIL
The Big Country,"Romance, Western",7.9,2   hours   46   minutes,NIL,"English, Spanish",PG,William Wyler,Gregory Peck,Jean Simmons,Carroll Baker,NIL,NIL
Some Came Running,"Drama, Romance",7.3,2   hours   17   minutes,28594,English,PG,Vincente Minnelli,Frank Sinatra,Dean Martin,Shirley MacLaine,NIL,United States
Teacher's Pet,"Comedy, Romance",7.1,2   hours,NIL,English,Approved,George Seaton,Clark Gable,Doris Day,Gig Young,NIL,NIL
I Want to Live!,"Biography, Crime",7.5,2   hours,NIL,English,Approved,Robert Wise,Susan Hayward,Simon Oakland,Virginia Vincent,NIL,NIL
Some Came Running,"Drama, Romance",7.3,2   hours   17   minutes,28594,English,PG,Vincente Minnelli,Frank Sinatra,Dean Martin,Shirley MacLaine,NIL,United States
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
Some Came Running,"Drama, Romance",7.3,2   hours   17   minutes,28594,English,PG,Vincente Minnelli,Frank Sinatra,Dean Martin,Shirley MacLaine,NIL,United States
Lonelyhearts,Drama,6.7,1   hour   40   minutes,NIL,English,Add content advisory,Vincent J. Donehue,Montgomery Clift,Myrna Loy,Robert Ryan,NIL,NIL
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
"Bell, Book and Candle","Comedy, Fantasy",6.8,1   hour   46   minutes,125,"English, French",Approved,Richard Quine,James Stewart,Kim Novak,Jack Lemmon,NIL,United States
A Certain Smile,Drama,5.8,1   hour   44   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, English",Approved,Jean Negulesco,Rossano Brazzi,Joan Fontaine,Bradford Dillman,NIL,NIL
Gigi,"Comedy, Musical",6.7,1   hour   55   minutes,NIL,"English, French",G,Vincente Minnelli,Leslie Caron,Maurice Chevalier,Louis Jourdan,NIL,NIL
Vertigo,"Mystery, Romance",8.3,2   hours   8   minutes,7797728,English,PG,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,NIL,United States
Desire under the Elms,"Drama, Romance",6.5,1   hour   51   minutes,NIL,English,Not Rated,Delbert Mann,Sophia Loren,Anthony Perkins,Burl Ives,NIL,NIL
The Young Lions,"Action, Drama",7.2,2   hours   47   minutes,NIL,"English, French, German",Approved,Edward Dmytryk,Marlon Brando,Montgomery Clift,Dean Martin,NIL,NIL
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
South Pacific,"Musical, Romance",6.8,2   hours   37   minutes,458609,"English, French",PG,Joshua Logan,Rossano Brazzi,Mitzi Gaynor,John Kerr,NIL,United States
"Bell, Book and Candle","Comedy, Fantasy",6.8,1   hour   46   minutes,125,"English, French",Approved,Richard Quine,James Stewart,Kim Novak,Jack Lemmon,NIL,United States
The Buccaneer,"Adventure, Drama",6.4,1   hour   59   minutes,NIL,English,Approved,Anthony Quinn,Yul Brynner,Claire Bloom,Charles Boyer,NIL,NIL
A Certain Smile,Drama,5.8,1   hour   44   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, English",Approved,Jean Negulesco,Rossano Brazzi,Joan Fontaine,Bradford Dillman,NIL,NIL
Some Came Running,"Drama, Romance",7.3,2   hours   17   minutes,28594,English,PG,Vincente Minnelli,Frank Sinatra,Dean Martin,Shirley MacLaine,NIL,United States
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
The Inn of the Sixth Happiness,"Biography, Drama",7.2,2   hours   38   minutes,NIL,"English, Japanese, Mandarin, Russian, Cantonese",PG,Mark Robson,Ingrid Bergman,Robert Donat,Curd Jürgens,NIL,NIL
Antarctic Crossing,Documentary,6.6,47   minutes,NIL,English,Add content advisory,George Lowe,Ingrid Bergman,Robert Donat,Curd Jürgens,NIL,NIL
The Hidden World,Documentary,NIL,50   minutes,NIL,English,Add content advisory,Gregory Peck,Ingrid Bergman,Robert Donat,Curd Jürgens,NIL,NIL
Psychiatric Nursing,NIL,NIL,34   minutes,NIL,English,Add content advisory,Lee R. Bobker,Lee R. Bobker,NIL,NIL,NIL,NIL
White Wilderness,"Documentary, Family",5.4,1   hour   12   minutes,NIL,English,Approved,James Algar,Winston Hibler,Volmer Sørensen,NIL,NIL,NIL
Ama Girls,"Documentary, Short",6.6,29   minutes,NIL,English,G,Ben Sharpsteen,Ben Sharpsteen,NIL,NIL,NIL,NIL
Employees Only,NIL,NIL,14   minutes,NIL,English,Add content advisory,NIL,NIL,NIL,NIL,NIL,NIL
Journey into Spring,"Documentary, Short",7.9,28   minutes,NIL,English,Add content advisory,Ralph Keene,Stephen Murray,NIL,NIL,NIL,NIL
The Living Stone,"Documentary, Short",7,34   minutes,NIL,English,Add content advisory,John Feeney,Gilbert Choquette,Gilles Pelletier,George Whalley,NIL,NIL
Overture,"Documentary, Short",6.1,10   minutes,NIL,Italian,Add content advisory,Gian Luigi Polidoro,Gilbert Choquette,Gilles Pelletier,George Whalley,NIL,NIL
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
Cowboy,Western,6.7,1   hour   32   minutes,NIL,English,Approved,Delmer Daves,Glenn Ford,Jack Lemmon,Anna Kashfi,NIL,NIL
Arms and the Man,"Comedy, Romance",6.2,1   hour   40   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, German",Add content advisory,Franz Peter Wirth,O.W. Fischer,Liselotte Pulver,Ellen Schwiers,NIL,NIL
La Venganza,Drama,6.8,2   hours   2   minutes,NIL,Spanish,Add content advisory,Juan Antonio Bardem,Carmen Sevilla,Raf Vallone,Jorge Mistral,NIL,NIL
My Uncle,Comedy,7.7,1   hour   56   minutes,84104,French,PG,Jacques Tati,Jacques Tati,Jean-Pierre Zola,Adrienne Servantie,NIL,"France, Italy"
The Road a Year Long,Drama,6.8,2   hours   42   minutes,NIL,Italian,Add content advisory,Giuseppe De Santis,Silvana Pampanini,Eleonora Rossi Drago,Massimo Girotti,NIL,NIL
The Usual Unidentified Thieves,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
The Young Lions,"Action, Drama",7.2,2   hours   47   minutes,NIL,"English, French, German",Approved,Edward Dmytryk,Marlon Brando,Montgomery Clift,Dean Martin,NIL,NIL
The Bolshoi Ballet,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Damn Yankees,"Comedy, Musical",7,1   hour   51   minutes,NIL,English,Approved,George Abbott,Tab Hunter,Gwen Verdon,Ray Walston,NIL,NIL
Mardi Gras,Musical,5.4,1   hour   47   minutes,NIL,English,Unrated,Edmund Goulding,Pat Boone,Christine Carère,Tommy Sands,NIL,NIL
Houseboat,"Comedy, Drama",6.6,1   hour   50   minutes,NIL,"English, Italian",Unrated,Melville Shavelson,Cary Grant,Sophia Loren,Martha Hyer,NIL,NIL
A Certain Smile,Drama,5.8,1   hour   44   minutes,NIL,"<span class=""ipc-chip__text"" role=""presentation"">foreign language adaptation</span>, English",Approved,Jean Negulesco,Rossano Brazzi,Joan Fontaine,Bradford Dillman,NIL,NIL
Some Came Running,"Drama, Romance",7.3,2   hours   17   minutes,28594,English,PG,Vincente Minnelli,Frank Sinatra,Dean Martin,Shirley MacLaine,NIL,United States
Marjorie Morningstar,"Drama, Romance",6.2,2   hours   8   minutes,NIL,"English, Hebrew, Spanish, Italian",Approved,Irving Rapper,Gene Kelly,Natalie Wood,Claire Trevor,NIL,NIL
Auntie Mame,"Comedy, Drama",7.9,2   hours   23   minutes,NIL,"English, French, Russian, Hindi",Approved,Morton DaCosta,Rosalind Russell,Forrest Tucker,Coral Browne,NIL,NIL
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
Knighty Knight Bugs,"Animation, Short",7.6,6   minutes,14753,English,Approved,Friz Freleng,Mel Blanc,NIL,NIL,NIL,NIL
Paul Bunyan,"Animation, Short",7,17   minutes,NIL,English,Approved,Les Clark,Bill Lee,The Mellowmen Quartet,Thurl Ravenscroft,NIL,NIL
Sidney's Family Tree,"Animation, Comedy",5.9,6   minutes,NIL,English,Add content advisory,Art Bartsch,Lionel Wilson,NIL,NIL,NIL,NIL
Grand Canyon,"Short, Documentary",7,29   minutes,NIL,English,Approved,James Algar,Lionel Wilson,NIL,NIL,NIL,NIL
Journey into Spring,"Documentary, Short",7.9,28   minutes,NIL,English,Add content advisory,Ralph Keene,Stephen Murray,NIL,NIL,NIL,NIL
The Kiss,"Short, Comedy",6.2,29   minutes,NIL,English,Add content advisory,Everett Chambers,David Brenner,Julie Reilly,Teddi Landess,NIL,NIL
Snows of Aorangi,NIL,6.6,19   minutes,NIL,English,Add content advisory,Brian Brake,Brian Brake,NIL,NIL,NIL,NIL
T Is for Tumbleweed,Short,6.5,18   minutes,NIL,English,Add content advisory,Louis Clyde Stoumen,Anne Lockhart,NIL,NIL,NIL,NIL
A Time to Love and a Time to Die,"Drama, Romance",7.6,2   hours   12   minutes,11431,"English, German, Russian",PG,Douglas Sirk,John Gavin,Liselotte Pulver,Jock Mahoney,NIL,United States
Vertigo,"Mystery, Romance",8.3,2   hours   8   minutes,7797728,English,PG,Alfred Hitchcock,James Stewart,Kim Novak,Barbara Bel Geddes,NIL,United States
The Young Lions,"Action, Drama",7.2,2   hours   47   minutes,NIL,"English, French, German",Approved,Edward Dmytryk,Marlon Brando,Montgomery Clift,Dean Martin,NIL,NIL
tom thumb,"Family, Fantasy",6.4,1   hour   38   minutes,NIL,English,Approved,George Pal,Russ Tamblyn,June Thorburn,Peter Sellers,NIL,NIL
Torpedo Run,"Drama, War",6.4,1   hour   38   minutes,NIL,English,Approved,Joseph Pevney,Glenn Ford,Ernest Borgnine,Diane Brewster,NIL,NIL
Cat on a Hot Tin Roof,Drama,8,1   hour   48   minutes,NIL,English,PG,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,NIL,NIL
The Horse's Mouth,Comedy,7,1   hour   37   minutes,NIL,"English, French, Italian, Spanish, Cantonese, Norse, Old, Portuguese",Not Rated,Ronald Neame,Alec Guinness,Kay Walsh,Renee Houston,NIL,NIL
The Goddess,Drama,6.6,1   hour   44   minutes,NIL,English,Add content advisory,John Cromwell,Kim Stanley,Lloyd Bridges,Steven Hill,NIL,NIL
Houseboat,"Comedy, Drama",6.6,1   hour   50   minutes,NIL,"English, Italian",Unrated,Melville Shavelson,Cary Grant,Sophia Loren,Martha Hyer,NIL,NIL
The Sheepman,Western,6.8,1   hour   25   minutes,NIL,English,PG,George Marshall,Glenn Ford,Shirley MacLaine,Leslie Nielsen,NIL,NIL
Teacher's Pet,"Comedy, Romance",7.1,2   hours,NIL,English,Approved,George Seaton,Clark Gable,Doris Day,Gig Young,NIL,NIL
Room at the Top,Comedy,8,21   minutes,NIL,English,Add content advisory,Roger Beatty,Vicki Lawrence,Ken Berry,Dorothy Lyman,NIL,NIL
Ben-Hur,"Adventure, Drama",8.1,3   hours   32   minutes,74437720,English,G,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,NIL,United States
Some Like It Hot,"Comedy, Music",8.2,2   hours   1   minute,195088,English,PG,Billy Wilder,Marilyn Monroe,Tony Curtis,Jack Lemmon,NIL,United States
The Last Angry Man,Drama,6.9,1   hour   40   minutes,NIL,"English, Yiddish",Approved,Daniel Mann,Paul Muni,David Wayne,Betsy Palmer,NIL,NIL
Anatomy of a Murder,"Drama, Mystery",8,2   hours   41   minutes,194,English,Not Rated,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,NIL,United States
Anatomy of a Murder,"Drama, Mystery",8,2   hours   41   minutes,194,English,Not Rated,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,NIL,United States
Anatomy of a Murder,"Drama, Mystery",8,2   hours   41   minutes,194,English,Not Rated,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,NIL,United States
The Young Philadelphians,Drama,7.4,2   hours   16   minutes,NIL,English,PG,Vincent Sherman,Paul Newman,Barbara Rush,Alexis Smith,NIL,NIL
The Diary of Anne Frank,"Biography, Drama",7.4,3   hours,NIL,"English, German",Approved,George Stevens,Millie Perkins,Shelley Winters,Joseph Schildkraut,NIL,NIL
Pillow Talk,"Comedy, Romance",7.4,1   hour   42   minutes,NIL,"English, French",PG,Michael Gordon,Rock Hudson,Doris Day,Tony Randall,NIL,NIL
The Nun's Story,Drama,7.5,2   hours   29   minutes,NIL,English,PG,Fred Zinnemann,Audrey Hepburn,Peter Finch,Edith Evans,NIL,NIL
"Suddenly, Last Summer","Drama, Mystery",7.5,1   hour   54   minutes,9749,English,Approved,Joseph L. Mankiewicz,Elizabeth Taylor,Katharine Hepburn,Montgomery Clift,NIL,"United States, United Kingdom"
"Suddenly, Last Summer","Drama, Mystery",7.5,1   hour   54   minutes,9749,English,Approved,Joseph L. Mankiewicz,Elizabeth Taylor,Katharine Hepburn,Montgomery Clift,NIL,"United States, United Kingdom"
Imitation of Life,Drama,7.8,2   hours   5   minutes,365,English,PG,Douglas Sirk,Lana Turner,John Gavin,Sandra Dee,NIL,United States
Imitation of Life,Drama,7.8,2   hours   5   minutes,365,English,PG,Douglas Sirk,Lana Turner,John Gavin,Sandra Dee,NIL,United States
Career,Drama,6.9,1   hour   45   minutes,NIL,English,Not Rated,Joseph Anthony,Dean Martin,Anthony Franciosa,Shirley MacLaine,NIL,NIL
The Last Angry Man,Drama,6.9,1   hour   40   minutes,NIL,"English, Yiddish",Approved,Daniel Mann,Paul Muni,David Wayne,Betsy Palmer,NIL,NIL
"Suddenly, Last Summer","Drama, Mystery",7.5,1   hour   54   minutes,9749,English,Approved,Joseph L. Mankiewicz,Elizabeth Taylor,Katharine Hepburn,Montgomery Clift,NIL,"United States, United Kingdom"
The Big Fisherman,"Drama, History",5.4,3   hours,NIL,English,Approved,Frank Borzage,Howard Keel,John Saxon,Susan Kohner,NIL,NIL
Journey to the Center of the Earth,"Adventure, Family",7,2   hours   9   minutes,NIL,"Icelandic, English, Swedish, French, Italian, Russian",Approved,Henry Levin,James Mason,Pat Boone,Arlene Dahl,NIL,NIL
