Title,Genre,Rating,Runtime,Sales,Language,Age Rating,Director,Cast1,Cast2,Cast3,Cast4,Country of Origin
Drag;,Drama,6.7,1   hour   25   minutes,NIL,English,Add content advisory,Frank Lloyd,Richard Barthelmess,Lucien Littlefield,Kathrin Clare Ward,NIL,NIL
Alibi,"Action, Crime",5.7,1   hour   31   minutes,NIL,English,Passed,Roland West,Chester Morris,Harry Stubbs,Mae Busch,NIL,NIL
Hollywood Revue,"Comedy, Music",5.8,2   hours   10   minutes,5277780,English,Passed,Charles Reisner,Conrad Nagel,Jack Benny,John Gilbert,NIL,United States
In Old Arizona;,Western,5.6,1   hour   35   minutes,NIL,"English, Spanish, Italian",Passed,Irving Cummings,Edmund Lowe,Warner Baxter,Dorothy Burgess,NIL,NIL
The Cop;,Drama,6.6,1   hour   17   minutes,NIL,None,Passed,Donald Crisp,William Boyd,Alan Hale,Jacqueline Logan,NIL,NIL
The Last of Mrs. Cheyney,"Comedy, Drama",6,1   hour   34   minutes,NIL,English,Passed,Sidney Franklin,Norma Shearer,Basil Rathbone,George Barraud,NIL,NIL
Our Dancing Daughters,Drama,6.7,1   hour   25   minutes,NIL,English,Not Rated,Harry Beaumont,Joan Crawford,Johnny Mack Brown,Nils Asther,NIL,NIL
A Woman of Affairs;,Drama,7.2,1   hour   38   minutes,NIL,English,Passed,Clarence Brown,Greta Garbo,John Gilbert,Lewis Stone,NIL,NIL
Disraeli,"Biography, Drama",6.1,1   hour   30   minutes,NIL,English,Passed,Alfred E. Green,George Arliss,Doris Lloyd,David Torrence,NIL,NIL
The Green Goddess,Adventure,5.4,1   hour   13   minutes,NIL,English,Passed,Alfred E. Green,George Arliss,Ralph Forbes,H.B. Warner,NIL,NIL
The Big House,"Crime, Drama",7.1,1   hour   27   minutes,NIL,"English, Russian",Passed,George W. Hill,Chester Morris,Wallace Beery,Lewis Stone,NIL,NIL
The Big Pond,"Comedy, Music",5.7,1   hour   12   minutes,NIL,"English, French",Passed,Hobart Henley,Maurice Chevalier,Claudette Colbert,Frank Lyon,NIL,NIL
Bulldog Drummond,"Crime, Drama",6.3,1   hour   30   minutes,NIL,English,Passed,F. Richard Jones,Ronald Colman,Claud Allister,Lawrence Grant,NIL,NIL
The Rogue Song,"Musical, Romance",5.6,1   hour   44   minutes,NIL,English,Add content advisory,Lionel Barrymore,Lawrence Tibbett,Catherine Dale Owen,Nance O'Neil,NIL,NIL
The Devil's Holiday,"Drama, Romance",6.1,1   hour   20   minutes,NIL,English,Passed,Edmund Goulding,Nancy Carroll,Phillips Holmes,James Kirkwood,NIL,NIL
Sarah and Son,"Drama, Romance",5.5,1   hour   26   minutes,NIL,English,Passed,Dorothy Arzner,Ruth Chatterton,Fredric March,Fuller Mellish Jr.,NIL,NIL
Anna Christie,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
The Divorcee,"Romance, Drama",6.7,1   hour   24   minutes,NIL,"English, French",Passed,Robert Z. Leonard,Norma Shearer,Robert Montgomery,Chester Morris,NIL,NIL
Their Own Desire,"Drama, Romance",5.8,1   hour   5   minutes,NIL,English,Approved,E. Mason Hopper,Norma Shearer,Belle Bennett,Lewis Stone,NIL,NIL
The Trespasser,Drama,6.5,1   hour   30   minutes,NIL,English,Add content advisory,Edmund Goulding,Gloria Swanson,Robert Ames,Purnell Pratt,NIL,NIL
Bulldog Drummond,"Crime, Drama",6.3,1   hour   30   minutes,NIL,English,Passed,F. Richard Jones,Ronald Colman,Claud Allister,Lawrence Grant,NIL,NIL
King of Jazz,"Animation, Comedy",6.7,1   hour   39   minutes,NIL,"English, Spanish, German, Russian, French, Italian",Passed,John Murray Anderson,Paul Whiteman,John Boles,Laura La Plante,NIL,NIL
The Love Parade,"Comedy, Musical",7,1   hour   47   minutes,NIL,"English, French",Passed,Ernst Lubitsch,Maurice Chevalier,Jeanette MacDonald,Lupino Lane,NIL,NIL
Sally,Musical,6.1,1   hour   43   minutes,NIL,"English, French",Passed,John Francis Dillon,Marilyn Miller,Alexander Gray,Joe E. Brown,NIL,NIL
The Vagabond King,"Drama, Musical",5.4,1   hour   44   minutes,NIL,English,Add content advisory,Ludwig Berger,Dennis King,Jeanette MacDonald,O.P. Heggie,NIL,NIL
All Quiet on the Western Front,"Drama, War",8.1,2   hours   32   minutes,NIL,"English, French, German, Latin",Passed,Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,NIL,NIL
Anna Christie,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
Hell's Angels,"Drama, War",7.3,2   hours   7   minutes,NIL,"English, German, French",PG,Howard Hughes,Ben Lyon,James Hall,Jean Harlow,NIL,NIL
The Love Parade,"Comedy, Musical",7,1   hour   47   minutes,NIL,"English, French",Passed,Ernst Lubitsch,Maurice Chevalier,Jeanette MacDonald,Lupino Lane,NIL,NIL
With Byrd at the South Pole,"Documentary, Adventure",6.9,1   hour   22   minutes,NIL,English,Passed,Julian Johnson,Julian Johnson,NIL,NIL,NIL,NIL
Anna Christie;,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL,NIL
The Love Parade,"Comedy, Musical",7,1   hour   47   minutes,NIL,"English, French",Passed,Ernst Lubitsch,Maurice Chevalier,Jeanette MacDonald,Lupino Lane,NIL,NIL
Hallelujah,"Drama, Musical",6.7,1   hour   49   minutes,NIL,English,Passed,King Vidor,Daniel L. Haynes,Nina Mae McKinney,William Fountaine,NIL,NIL
The Love Parade,"Comedy, Musical",7,1   hour   47   minutes,NIL,"English, French",Passed,Ernst Lubitsch,Maurice Chevalier,Jeanette MacDonald,Lupino Lane,NIL,NIL
Street of Chance,"Crime, Drama",6.6,1   hour   15   minutes,NIL,English,Passed,John Cromwell,William Powell,Jean Arthur,Kay Francis,NIL,NIL
A Free Soul,"Crime, Drama",6.6,1   hour   33   minutes,NIL,English,Passed,Clarence Brown,Norma Shearer,Leslie Howard,Lionel Barrymore,NIL,NIL
Skippy,"Comedy, Drama",6.3,1   hour   25   minutes,NIL,English,Passed,Norman Taurog,Jackie Cooper,Robert Coogan,Mitzi Green,NIL,NIL
Cimarron,"Drama, Western",5.9,2   hours   3   minutes,NIL,"English, French",Passed,Wesley Ruggles,Richard Dix,Irene Dunne,Estelle Taylor,NIL,NIL
The Royal Family of Broadway,Comedy,6.3,1   hour   22   minutes,NIL,English,Add content advisory,George Cukor,Ina Claire,Fredric March,Mary Brian,NIL,NIL
The Front Page,"Comedy, Crime",6.7,1   hour   41   minutes,NIL,English,Approved,Lewis Milestone,Adolphe Menjou,Pat O'Brien,Mary Brian,NIL,NIL
Morocco,"Drama, Romance",7,1   hour   32   minutes,191,"English, French, Spanish, Arabic, Italian",Passed,Josef von Sternberg,Gary Cooper,Marlene Dietrich,Adolphe Menjou,NIL,United States
Min and Bill,"Comedy, Drama",6.8,1   hour   9   minutes,NIL,English,Passed,George W. Hill,Marie Dressler,Wallace Beery,Dorothy Jordan,NIL,NIL
Holiday,"Comedy, Drama",6.4,1   hour   31   minutes,NIL,English,Add content advisory,Edward H. Griffith,Ann Harding,Mary Astor,Robert Ames,NIL,NIL
Just Imagine,"Comedy, Fantasy",5.4,1   hour   53   minutes,NIL,English,Passed,David Butler,El Brendel,Maureen O'Sullivan,John Garrick,NIL,NIL
Morocco,"Drama, Romance",7,1   hour   32   minutes,191,"English, French, Spanish, Arabic, Italian",Passed,Josef von Sternberg,Gary Cooper,Marlene Dietrich,Adolphe Menjou,NIL,United States
Svengali,"Drama, Horror",6.8,1   hour   21   minutes,NIL,"English, French, Italian, German",Approved,Archie Mayo,John Barrymore,Marian Marsh,Donald Crisp,NIL,NIL
Whoopee!,"Comedy, Musical",6.4,1   hour   33   minutes,NIL,English,Passed,Thornton Freeland,Eddie Cantor,Ethel Shutta,Paul Gregory,NIL,NIL
Morocco,"Drama, Romance",7,1   hour   32   minutes,191,"English, French, Spanish, Arabic, Italian",Passed,Josef von Sternberg,Gary Cooper,Marlene Dietrich,Adolphe Menjou,NIL,United States
The Right to Love,Drama,5.8,1   hour   19   minutes,NIL,English,Passed,Richard Wallace,Ruth Chatterton,Paul Lukas,David Manners,NIL,NIL
Svengali,"Drama, Horror",6.8,1   hour   21   minutes,NIL,"English, French, Italian, German",Approved,Archie Mayo,John Barrymore,Marian Marsh,Donald Crisp,NIL,NIL
Tabu,"Adventure, Drama",7.4,1   hour   26   minutes,NIL,English,TV-PG,F.W. Murnau,Anne Chevalier,Matahi,Hitu,NIL,NIL
The Front Page,"Comedy, Crime",6.7,1   hour   41   minutes,NIL,English,Approved,Lewis Milestone,Adolphe Menjou,Pat O'Brien,Mary Brian,NIL,NIL
Morocco,"Drama, Romance",7,1   hour   32   minutes,191,"English, French, Spanish, Arabic, Italian",Passed,Josef von Sternberg,Gary Cooper,Marlene Dietrich,Adolphe Menjou,NIL,United States
East Lynne,"Drama, Romance",5.9,1   hour   42   minutes,NIL,English,Passed,Frank Lloyd,Ann Harding,Clive Brook,Conrad Nagel,NIL,NIL
The Front Page,"Comedy, Crime",6.7,1   hour   41   minutes,NIL,English,Approved,Lewis Milestone,Adolphe Menjou,Pat O'Brien,Mary Brian,NIL,NIL
Trader Horn,"Action, Adventure",6.3,2   hours   2   minutes,NIL,"English, Swahili",Passed,W.S. Van Dyke,Harry Carey,Edwina Booth,Duncan Renaldo,NIL,NIL
The Criminal Code,"Crime, Drama",7,1   hour   37   minutes,NIL,English,Passed,Howard Hawks,Walter Huston,Phillips Holmes,Constance Cummings,NIL,NIL
Holiday,"Comedy, Drama",6.4,1   hour   31   minutes,NIL,English,Add content advisory,Edward H. Griffith,Ann Harding,Mary Astor,Robert Ames,NIL,NIL
Little Caesar,"Action, Crime",7.2,1   hour   19   minutes,NIL,English,Not Rated,Mervyn LeRoy,Edward G. Robinson,Douglas Fairbanks Jr.,Glenda Farrell,NIL,NIL
The Dawn Patrol,"Action, Drama",7.2,1   hour   48   minutes,NIL,"English, German, French",Passed,Howard Hawks,Richard Barthelmess,Douglas Fairbanks Jr.,Neil Hamilton,NIL,NIL
The Doorway to Hell,"Crime, Drama",6.5,1   hour   18   minutes,NIL,English,Passed,Archie Mayo,Lew Ayres,James Cagney,Dorothy Mathews,NIL,NIL
